# 现代汉语音节汇总（含声调）
# 共有1503个音节。
# 说明
#
# 拼音来自本文件中其他文件统计汇总，但是：
# - lün ㄌㄩㄣ，nia ㄋㄧㄚ，shong ㄕㄨㄥ，diang ㄉㄧㄤ等未出现在词典或编码规范中的，本文件不列入；
# - gie，giao，duang等网络用语、缺少对应汉字的纯拟声词，本文件不列入。
# - nèng 缺少例字（“濘”读音为nìng，少量资料中也注音为nèng，存疑）
#
# 字段备注：
# 注音：一般，竖排中使用“ㄧ”，横排中使用“丨”。
# 例字：优先选择常用字，其中部分为多音字。
# 状态：※为两岸词典都收录此音（1276个）；‽为词典暂无此音，如biáng 𰻝、fiào 覅（106个）；其余为某一词典收录，如tēi 忒（121个）。
# 字数统计，根据网络数据汇总得到，仅供参考；
# - 字数1:《现代汉语词典》（第7版）；
# - 字数2:《重編國語辭典》（修訂本）。
#
# 拼音声调	拼音数字	注音	注音（横排）	例字	字数1	字数2	状态

cuō	cuo1	ㄘㄨㄛ		搓	5	10	※
cuó	cuo2	ㄘㄨㄛˊ		嵯	6	5	※
cuǒ	cuo3	ㄘㄨㄛˇ		脞	1	2	※
cuò	cuo4	ㄘㄨㄛˋ		挫	8	11	※
dā	da1	ㄉㄚ		搭	9	7	※
dá	da2	ㄉㄚˊ		达	15	13	※
dǎ	da3	ㄉㄚˇ		打	1	1	※
dà	da4	ㄉㄚˋ		大	2	1	※
da	da5	˙ㄉㄚ		瘩	5	2	※
dāi	dai1	ㄉㄞ		呆	3	3	※
dǎi	dai3	ㄉㄞˇ		歹	3	4	※
dài	dai4	ㄉㄞˋ		代	24	23	※
dān	dan1	ㄉㄢ		丹	13	16	※
dǎn	dan3	ㄉㄢˇ		胆	9	8	※
dàn	dan4	ㄉㄢˋ		旦	23	27	※
dāng	dang1	ㄉㄤ		当	6	6	※
dǎng	dang3	ㄉㄤˇ		党	5	8	※
dàng	dang4	ㄉㄤˋ		荡	11	9	※
dāo	dao1	ㄉㄠ		刀	7	5	※
dáo	dao2	ㄉㄠˊ		叨	2	1	※
dǎo	dao3	ㄉㄠˇ		导	6	6	※
dào	dao4	ㄉㄠˋ		到	9	13	※
dē	de1	ㄉㄜ		嘚	1	1	※
dé	de2	ㄉㄜˊ		德	3	2	※
dè	de4	ㄉㄜˋ		嘚	1		
de	de5	˙ㄉㄜ		得	5	4	※
dēi	dei1	ㄉㄟ		嘚	1		
děi	dei3	ㄉㄟˇ		得	1	1	※
dèn	den4	ㄉㄣˋ		扽	1	1	※
dēng	deng1	ㄉㄥ		登	7	7	※
děng	deng3	ㄉㄥˇ		等	2	2	※
dèng	deng4	ㄉㄥˋ		邓	8	10	※
dī	di1	ㄉㄧ	ㄉ丨	低	12	12	※
dí	di2	ㄉㄧˊ	ㄉ丨ˊ	迪	17	22	※
dǐ	di3	ㄉㄧˇ	ㄉ丨ˇ	抵	10	12	※
dì	di4	ㄉㄧˋ	ㄉ丨ˋ	弟	23	21	※
diǎ	dia3	ㄉㄧㄚˇ	ㄉ丨ㄚˇ	嗲	1		
diān	dian1	ㄉㄧㄢ	ㄉ丨ㄢ	颠	8	11	※
dián	dian2	ㄉㄧㄢˊ	ㄉ丨ㄢˊ	䟍			‽
diǎn	dian3	ㄉㄧㄢˇ	ㄉ丨ㄢˇ	典	4	4	※
diàn	dian4	ㄉㄧㄢˋ	ㄉ丨ㄢˋ	电	18	20	※
diāo	diao1	ㄉㄧㄠ	ㄉ丨ㄠ	刁	9	11	※
diǎo	diao3	ㄉㄧㄠˇ	ㄉ丨ㄠˇ	鸟	2	2	※
diào	diao4	ㄉㄧㄠˋ	ㄉ丨ㄠˋ	吊	8	11	※
diē	die1	ㄉㄧㄝ	ㄉ丨ㄝ	爹	3	2	※
dié	die2	ㄉㄧㄝˊ	ㄉ丨ㄝˊ	迭	21	32	※
diě	die3	ㄉㄧㄝˇ	ㄉ丨ㄝˇ	𡖐			‽
diè	die4	ㄉㄧㄝˋ	ㄉ丨ㄝˋ	𠅗			‽
dīng	ding1	ㄉㄧㄥ	ㄉ丨ㄥ	叮	11	8	※
díng	ding2	ㄉㄧㄥˊ	ㄉ丨ㄥˊ				‽
dǐng	ding3	ㄉㄧㄥˇ	ㄉ丨ㄥˇ	顶	3	4	※
dìng	ding4	ㄉㄧㄥˋ	ㄉ丨ㄥˋ	订	10	8	※
diū	diu1	ㄉㄧㄡ	ㄉ丨ㄡ	丢	2	4	※
dōng	dong1	ㄉㄨㄥ		东	7	7	※
dǒng	dong3	ㄉㄨㄥˇ		董	2	2	※
dòng	dong4	ㄉㄨㄥˋ		动	11	12	※
dōu	dou1	ㄉㄡ		兜	5	4	※
dóu	dou2	ㄉㄡˊ		唞			‽
dǒu	dou3	ㄉㄡˇ		抖	7	4	※
dòu	dou4	ㄉㄡˋ		豆	10	9	※
dū	du1	ㄉㄨ		督	6	4	※
dú	du2	ㄉㄨˊ		毒	11	17	※
dǔ	du3	ㄉㄨˇ		堵	5	6	※
dù	du4	ㄉㄨˋ		杜	10	9	※
duān	duan1	ㄉㄨㄢ		端	2	2	※
duǎn	duan3	ㄉㄨㄢˇ		短	1	1	※
duàn	duan4	ㄉㄨㄢˋ		段	10	8	※
duī	dui1	ㄉㄨㄟ		堆	2	3	※
duǐ	dui3	ㄉㄨㄟˇ		㨃			‽
duì	dui4	ㄉㄨㄟˋ		队	10	9	※
dūn	dun1	ㄉㄨㄣ		吨	10	5	※
dǔn	dun3	ㄉㄨㄣˇ		盹	3	2	※
dùn	dun4	ㄉㄨㄣˋ		钝	9	12	※
duō	duo1	ㄉㄨㄛ		多	7	3	※
duó	duo2	ㄉㄨㄛˊ		夺	6	10	※
duǒ	duo3	ㄉㄨㄛˇ		朵	7	8	※
duò	duo4	ㄉㄨㄛˋ		舵	13	20	※
duo	duo5	˙ㄉㄨㄛ					‽
ē	e1	ㄜ		阿	4	6	※
é	e2	ㄜˊ		鹅	14	17	※
ě	e3	ㄜˇ		恶	1	10	※
è	e4	ㄜˋ		扼	28	41	※
e	e5	˙ㄜ		呃	1		
ê̄	ê1	ㄝ		欸	1		
ế	ê2	ㄝˊ		欸	1		
ê̌	ê3	ㄝˇ		欸	1		
ề	ê4	ㄝˋ		欸	1	1	※
ê	ê5	˙ㄝ					‽
èi	ei4	ㄟˋ		欸		1	
ēn	en1	ㄣ		恩	3	1	※
én	en2	ㄣˊ					‽
ěn	en3	ㄣˇ		峎			‽
èn	en4	ㄣˋ		摁	1	1	※
en	en5	˙ㄣ		嗯		1	
ēng	eng1	ㄥ		鞥	1	1	※
èng	eng4	ㄥˋ					‽
ēr	er1	ㄦ					‽
ér	er2	ㄦˊ		儿	10	10	※
ěr	er3	ㄦˇ		尔	8	8	※
èr	er4	ㄦˋ		二	7	8	※
er	er5	˙ㄦ					‽
fā	fa1	ㄈㄚ		发	2	4	※
fá	fa2	ㄈㄚˊ		乏	6	8	※
fǎ	fa3	ㄈㄚˇ		法	2	4	※
fà	fa4	ㄈㄚˋ		发	2	1	※
fa	fa5	˙ㄈㄚ		𠲎	1		
fān	fan1	ㄈㄢ		帆	6	11	※
fán	fan2	ㄈㄢˊ		凡	17	24	※
fǎn	fan3	ㄈㄢˇ		反	2	2	※
fàn	fan4	ㄈㄢˋ		犯	8	12	※
fāng	fang1	ㄈㄤ		方	8	9	※
fáng	fang2	ㄈㄤˊ		防	6	6	※
fǎng	fang3	ㄈㄤˇ		仿	6	10	※
fàng	fang4	ㄈㄤˋ		放	1	1	※
fēi	fei1	ㄈㄟ		非	11	14	※
féi	fei2	ㄈㄟˊ		肥	3	4	※
fěi	fei3	ㄈㄟˇ		匪	11	12	※
fèi	fei4	ㄈㄟˋ		吠	11	18	※
fēn	fen1	ㄈㄣ		芬	10	11	※
fén	fen2	ㄈㄣˊ		坟	8	18	※
fěn	fen3	ㄈㄣˇ		粉	1	1	※
fèn	fen4	ㄈㄣˋ		份	10	15	※
fen	fen5	˙ㄈㄣ					‽
fēng	feng1	ㄈㄥ		风	15	15	※
féng	feng2	ㄈㄥˊ		逢	4	5	※
fěng	feng3	ㄈㄥˇ		讽	3	3	※
fèng	feng4	ㄈㄥˋ		凤	6	7	※
fiào	fiao4	ㄈㄧㄠˋ	ㄈ丨ㄠˋ	覅			‽
fó	fo2	ㄈㄛˊ		佛	1	1	※
fōu	fou1	ㄈㄡ		不		2	
fóu	fou2	ㄈㄡˊ		浮		4	
fǒu	fou3	ㄈㄡˇ		否	2	4	※
fòu	fou4	ㄈㄡˋ		复		2	
fū	fu1	ㄈㄨ		肤	16	18	※
fú	fu2	ㄈㄨˊ		弗	56	67	※
fǔ	fu3	ㄈㄨˇ		抚	19	20	※
fù	fu4	ㄈㄨˋ		付	28	35	※
gā	ga1	ㄍㄚ		嘎	8	3	※
gá	ga2	ㄍㄚˊ		嘎	5	3	※
gǎ	ga3	ㄍㄚˇ		嘎	3	1	※
gà	ga4	ㄍㄚˋ		尬	1	1	※
ga	ga5	˙ㄍㄚ		價		1	
gāi	gai1	ㄍㄞ		该	6	5	※
gǎi	gai3	ㄍㄞˇ		改	2	1	※
gài	gai4	ㄍㄞˋ		丐	8	6	※
gān	gan1	ㄍㄢ		甘	17	16	※
gǎn	gan3	ㄍㄢˇ		秆	11	11	※
gàn	gan4	ㄍㄢˋ		赣	7	9	※
gāng	gang1	ㄍㄤ		冈	16	17	※
gǎng	gang3	ㄍㄤˇ		港	4	3	※
gàng	gang4	ㄍㄤˋ		钢	6	4	※
gāo	gao1	ㄍㄠ		高	9	13	※
gǎo	gao3	ㄍㄠˇ		搞	8	8	※
gào	gao4	ㄍㄠˋ		告	6	5	※
gē	ge1	ㄍㄜ		哥	16	12	※
gé	ge2	ㄍㄜˊ		阁	21	25	※
gě	ge3	ㄍㄜˇ		个	7	7	※
gè	ge4	ㄍㄜˋ		个	5	6	※
ge	ge5	˙ㄍㄜ		個		1	
gěi	gei3	ㄍㄟˇ		给	1	1	※
gēn	gen1	ㄍㄣ		根	2	2	※
gén	gen2	ㄍㄣˊ		哏	1	1	※
gěn	gen3	ㄍㄣˇ		艮	1	1	※
gèn	gen4	ㄍㄣˋ		亘	3	3	※
gēng	geng1	ㄍㄥ		耕	9	9	※
gěng	geng3	ㄍㄥˇ		埂	8	9	※
gèng	geng4	ㄍㄥˋ		更	3	3	※
gōng	gong1	ㄍㄨㄥ		工	17	16	※
góng	gong2	ㄍㄨㄥˊ					‽
gǒng	gong3	ㄍㄨㄥˇ		巩	6	10	※
gòng	gong4	ㄍㄨㄥˋ		共	4	4	※
gōu	gou1	ㄍㄡ		沟	9	11	※
gǒu	gou3	ㄍㄡˇ		苟	7	7	※
gòu	gou4	ㄍㄡˋ		构	14	16	※
gū	gu1	ㄍㄨ		姑	21	22	※
gú	gu2	ㄍㄨˊ		骨		1	
gǔ	gu3	ㄍㄨˇ		古	29	30	※
gù	gu4	ㄍㄨˋ		固	12	12	※
guā	gua1	ㄍㄨㄚ		瓜	10	15	※
guá	gua2	ㄍㄨㄚˊ		𪇜			‽
guǎ	gua3	ㄍㄨㄚˇ		寡	3	2	※
guà	gua4	ㄍㄨㄚˋ		卦	6	8	※
guāi	guai1	ㄍㄨㄞ		乖	2	2	※
guǎi	guai3	ㄍㄨㄞˇ		拐	1	3	※
guài	guai4	ㄍㄨㄞˋ		怪	2	4	※
guān	guan1	ㄍㄨㄢ		关	12	12	※
guǎn	guan3	ㄍㄨㄢˇ		馆	8	9	※
guàn	guan4	ㄍㄨㄢˋ		贯	15	17	※
guāng	guang1	ㄍㄨㄤ		光	8	7	※
guǎng	guang3	ㄍㄨㄤˇ		广	2	4	※
guàng	guang4	ㄍㄨㄤˋ		逛	2	2	※
gué	gue2	ㄍㄨㄜˊ					‽
guī	gui1	ㄍㄨㄟ		归	14	17	※
guǐ	gui3	ㄍㄨㄟˇ		轨	14	17	※
guì	gui4	ㄍㄨㄟˋ		贵	12	17	※
gūn	gun1	ㄍㄨㄣ					‽
gǔn	gun3	ㄍㄨㄣˇ		滚	6	9	※
gùn	gun4	ㄍㄨㄣˋ		棍	1	1	※
guō	guo1	ㄍㄨㄛ		锅	10	8	※
guó	guo2	ㄍㄨㄛˊ		国	8	7	※
guǒ	guo3	ㄍㄨㄛˇ		果	6	8	※
guò	guo4	ㄍㄨㄛˋ		过	1	1	※
hā	ha1	ㄏㄚ		哈	2	3	※
há	ha2	ㄏㄚˊ		虾	2	2	※
hǎ	ha3	ㄏㄚˇ		哈	2	1	※
hà	ha4	ㄏㄚˋ		哈	1		
hāi	hai1	ㄏㄞ		咳	3	3	※
hái	hai2	ㄏㄞˊ		孩	3	4	※
hǎi	hai3	ㄏㄞˇ		海	4	2	※
hài	hai4	ㄏㄞˋ		亥	6	5	※
hān	han1	ㄏㄢ		酣	7	8	※
hán	han2	ㄏㄢˊ		含	15	13	※
hǎn	han3	ㄏㄢˇ		罕	5	6	※
hàn	han4	ㄏㄢˋ		汉	20	28	※
hāng	hang1	ㄏㄤ		夯	1	1	※
