# 中華語文大辭典（兩岸詞典）：音节统计
# 共1311个音节。
# 备注：修正原文中部分字母格式：ɑ->a, ɡ->g
#
# 拼音	注音	例字	字数

dǐ	ㄉ丨ˇ	厎	15
dì	ㄉ丨ˋ	俤	27
diān	ㄉ丨ㄢ	傎	8
diǎn	ㄉ丨ㄢˇ	典	4
diàn	ㄉ丨ㄢˋ	佃	24
diāng	ㄉ丨ㄤ	噹（当）	1
diāo	ㄉ丨ㄠ	凋	12
diǎo	ㄉ丨ㄠˇ	屌	2
diào	ㄉ丨ㄠˋ	吊	11
diē	ㄉ丨ㄝ	嗲	2
dié	ㄉ丨ㄝˊ	㑙	34
dīng	ㄉ丨ㄥ	丁	9
dǐng	ㄉ丨ㄥˇ	濎	5
dìng	ㄉ丨ㄥˋ	啶	11
diū	ㄉ丨ㄡ	丟（丢）	2
dōng	ㄉㄨㄥ	冬	10
dǒng	ㄉㄨㄥˇ	懂	2
dòng	ㄉㄨㄥˋ	㣫	16
dōu	ㄉㄡ	兜	6
dǒu	ㄉㄡˇ	抖	6
dòu	ㄉㄡˋ	梪	13
dū	ㄉㄨ	厾	4
dú	ㄉㄨˊ	櫝（椟）	16
dǔ	ㄉㄨˇ	堵	6
dù	ㄉㄨˋ	妒	11
duān	ㄉㄨㄢ	剬	3
duǎn	ㄉㄨㄢˇ	短	1
duàn	ㄉㄨㄢˋ	塅	11
duī	ㄉㄨㄟ	堆	2
duì	ㄉㄨㄟˋ	兌（兑）	16
dūn	ㄉㄨㄣ	墩	9
dǔn	ㄉㄨㄣˇ	盹	2
dùn	ㄉㄨㄣˋ	噸（吨）	15
duō	ㄉㄨㄛ	哆	2
duó	ㄉㄨㄛˊ	凙	12
duǒ	ㄉㄨㄛˇ	哚	9
duò	ㄉㄨㄛˋ	剁	19
ē	ㄜ	呃	7
é	ㄜˊ	俄	16
ě	ㄜˇ	噁（恶）	6
è	ㄜˋ	㟯	43
e	˙ㄜ	呃	1
ề	ㄝˋ	誒（誒）	1
èi	ㄟˋ	欸	1
ēn	ㄣ	恩	2
en	˙ㄣ	嗯	1
èn	ㄣˋ	摁	1
ér	ㄦˊ	兒（儿）	9
ěr	ㄦˇ	尒（尔）	9
èr	ㄦˋ	二	8
fā	ㄈㄚ	伐	3
fá	ㄈㄚˊ	乏	6
fǎ	ㄈㄚˇ	法	5
fà	ㄈㄚˋ	琺（珐）	1
fān	ㄈㄢ	幡	7
fán	ㄈㄢˊ	凡	19
fǎn	ㄈㄢˇ	反	2
fàn	ㄈㄢˋ	嬔	12
fāng	ㄈㄤ	匚	9
fáng	ㄈㄤˊ	坊	7
fǎng	ㄈㄤˇ	仿	11
fàng	ㄈㄤˋ	放	1
fēi	ㄈㄟ	啡	11
féi	ㄈㄟˊ	淝	5
fěi	ㄈㄟˇ	匪	11
fèi	ㄈㄟˋ	俷	23
fēn	ㄈㄣ	分	10
fén	ㄈㄣˊ	墳（坟）	17
fěn	ㄈㄣˇ	粉	1
fèn	ㄈㄣˋ	份	13
fēng	ㄈㄥ	丰	20
féng	ㄈㄥˊ	夆	8
fěng	ㄈㄥˇ	唪	1
fèng	ㄈㄥˋ	俸	7
fó	ㄈㄛˊ	佛	2
fōu	ㄈㄡ	不	1
fóu	ㄈㄡˊ	紑	2
fǒu	ㄈㄡˇ	否	3
fū	ㄈㄨ	不	20
fú	ㄈㄨˊ	㚘	76
fǔ	ㄈㄨˇ	俛	23
fù	ㄈㄨˋ	付	30
gā	ㄍㄚ	呷	4
gá	ㄍㄚˊ	尜	2
gǎ	ㄍㄚˇ	嘎	3
gà	ㄍㄚˋ	尬	1
ga	˙ㄍㄚ	价	2
gāi	ㄍㄞ	侅	9
gǎi	ㄍㄞˇ	改	2
gài	ㄍㄞˋ	丐	8
gān	ㄍㄢ	乾（干）	20
gǎn	ㄍㄢˇ	感	13
gàn	ㄍㄢˋ	幹（干）	9
gāng	ㄍㄤ	亢	19
gǎng	ㄍㄤˇ	崗（岗）	2
gàng	ㄍㄤˋ	戇（戆）	6
gāo	ㄍㄠ	咎	13
gǎo	ㄍㄠˇ	搞	10
gào	ㄍㄠˋ	告	5
gē	ㄍㄜ	仡	18
gé	ㄍㄜˊ	嗝	27
gě	ㄍㄜˇ	个	9
gè	ㄍㄜˋ	个	7
ge	˙ㄍㄜ	个	2
gěi	ㄍㄟˇ	給（给）	1
gēn	ㄍㄣ	根	2
gén	ㄍㄣˊ	哏	1
gěn	ㄍㄣˇ	艮	1
gèn	ㄍㄣˋ	亘	5
gēng	ㄍㄥ	亢	12
gěng	ㄍㄥˇ	哽	9
gèng	ㄍㄥˋ	堩	2
gōng	ㄍㄨㄥ	供	20
gǒng	ㄍㄨㄥˇ	廾	9
gòng	ㄍㄨㄥˋ	供	4
gōu	ㄍㄡ	勾	12
gǒu	ㄍㄡˇ	岣	6
gòu	ㄍㄡˋ	冓	16
gū	ㄍㄨ	估	24
gú	ㄍㄨˊ	骨	1
gǔ	ㄍㄨˇ	古	36
gù	ㄍㄨˋ	估	16
guā	ㄍㄨㄚ	刮	17
guǎ	ㄍㄨㄚˇ	剮（剐）	2
guà	ㄍㄨㄚˋ	卦	8
guāi	ㄍㄨㄞ	乖	1
guǎi	ㄍㄨㄞˇ	拐	3
guài	ㄍㄨㄞˋ	夬	3
guān	ㄍㄨㄢ	倌	12
guǎn	ㄍㄨㄢˇ	䲘（鳤）	11
guàn	ㄍㄨㄢˋ	丱	16
guāng	ㄍㄨㄤ	光	7
guǎng	ㄍㄨㄤˇ	廣（广）	2
guàng	ㄍㄨㄤˋ	撗	3
guī	ㄍㄨㄟ	傀	25
guǐ	ㄍㄨㄟˇ	佹	16
guì	ㄍㄨㄟˋ	劌（刿）	20
gūn	ㄍㄨㄣ	婫	1
gǔn	ㄍㄨㄣˇ	丨	10
gùn	ㄍㄨㄣˋ	棍	2
guō	ㄍㄨㄛ	嘓	10
guó	ㄍㄨㄛˊ	國（国）	8
guǒ	ㄍㄨㄛˇ	惈	8
guò	ㄍㄨㄛˋ	過（过）	1
hā	ㄏㄚ	哈	2
há	ㄏㄚˊ	蛤	2
hǎ	ㄏㄚˇ	哈	2
hāi	ㄏㄞ	咍	3
hái	ㄏㄞˊ	孩	4
hǎi	ㄏㄞˇ	海	3
hài	ㄏㄞˋ	亥	6
hān	ㄏㄢ	㟏	9
hán	ㄏㄢˊ	函	18
hǎn	ㄏㄢˇ	厂	4
hàn	ㄏㄢˋ	和	28
hāng	ㄏㄤ	㰠	2
háng	ㄏㄤˊ	吭	8
hàng	ㄏㄤˋ	巷	3
hāo	ㄏㄠ	嚆	3
háo	ㄏㄠˊ	呺	11
hǎo	ㄏㄠˇ	好	2
hào	ㄏㄠˋ	呺	18
hē	ㄏㄜ	呵	5
hé	ㄏㄜˊ	何	37
hè	ㄏㄜˋ	㚘	17
hēi	ㄏㄟ	嘿	4
hēn	ㄏㄣ	噷	1
hén	ㄏㄣˊ	拫	3
hěn	ㄏㄣˇ	佷	4
hèn	ㄏㄣˋ	恨	1
hēng	ㄏㄥ	亨	4
héng	ㄏㄥˊ	佷	10
hèng	ㄏㄥˋ	啈	4
hōng	ㄏㄨㄥ	吽	10
hóng	ㄏㄨㄥˊ	仜	29
hǒng	ㄏㄨㄥˇ	哄	2
hòng	ㄏㄨㄥˋ	澋	4
hōu	ㄏㄡ	呴	2
hóu	ㄏㄡˊ	侯	11
hǒu	ㄏㄡˇ	吼	2
hòu	ㄏㄡˋ	侯	11
hū	ㄏㄨ	乎	22
hú	ㄏㄨˊ	和	29
hǔ	ㄏㄨˇ	唬	5
hù	ㄏㄨˋ	互	22
huā	ㄏㄨㄚ	化	4
huá	ㄏㄨㄚˊ	划	11
huà	ㄏㄨㄚˋ	划	14
huái	ㄏㄨㄞˊ	佪	8
huài	ㄏㄨㄞˋ	咶	3
huān	ㄏㄨㄢ	嚾	8
huán	ㄏㄨㄢˊ	亘	27
huǎn	ㄏㄨㄢˇ	晥	5
huàn	ㄏㄨㄢˋ	䀓	16
huāng	ㄏㄨㄤ	塃	5
huáng	ㄏㄨㄤˊ	偟	29
huǎng	ㄏㄨㄤˇ	幌	10
huàng	ㄏㄨㄤˋ	晃	3
huī	ㄏㄨㄟ	倠	19
huí	ㄏㄨㄟˊ	回	8
huǐ	ㄏㄨㄟˇ	悔	8
huì	ㄏㄨㄟˋ	匯（汇）	38
hūn	ㄏㄨㄣ	婚	11
hún	ㄏㄨㄣˊ	昆	7
hùn	ㄏㄨㄣˋ	圂	7
huō	ㄏㄨㄛ	劐	1
huó	ㄏㄨㄛˊ	佸	5
huǒ	ㄏㄨㄛˇ	伙	5
huò	ㄏㄨㄛˋ	剨	34
huo	˙ㄏㄨㄛ	和	1
jī	ㄐ丨	丌	58
jí	ㄐ丨ˊ	丮	53
jǐ	ㄐ丨ˇ	㧗	21
jì	ㄐ丨ˋ	伎	63
jiā	ㄐ丨ㄚ	伽	20
jiá	ㄐ丨ㄚˊ	夾（夹）	17
jiǎ	ㄐ丨ㄚˇ	假	15
jià	ㄐ丨ㄚˋ	价	10
jiān	ㄐ丨ㄢ	兼	42
jiǎn	ㄐ丨ㄢˇ	儉（俭）	31
jiàn	ㄐ丨ㄢˋ	件	44
jiāng	ㄐ丨ㄤ	僵	17
jiǎng	ㄐ丨ㄤˇ	傋	7
jiàng	ㄐ丨ㄤˋ	匠	13
jiāo	ㄐ丨ㄠ	交	32
jiáo	ㄐ丨ㄠˊ	嚼	2
jiǎo	ㄐ丨ㄠˇ	佼	29
jiào	ㄐ丨ㄠˋ	叫	29
jiē	ㄐ丨ㄝ	偕	16
jié	ㄐ丨ㄝˊ	㘉	48
jiě	ㄐ丨ㄝˇ	姊	4
jiè	ㄐ丨ㄝˋ	介	19
jie	˙ㄐ丨ㄝ	價（价）	2
jīn	ㄐ丨ㄣ	䃸	18
jǐn	ㄐ丨ㄣˇ	僅（仅）	16
jìn	ㄐ丨ㄣˋ	僸	28
jīng	ㄐ丨ㄥ	京	22
jǐng	ㄐ丨ㄥˇ	井	15
jìng	ㄐ丨ㄥˋ	㵾	26
jiōng	ㄐㄩㄥ	冂	6
jiǒng	ㄐㄩㄥˇ	冏	9
jiū	ㄐ丨ㄡ	勼	14
jiǔ	ㄐ丨ㄡˇ	久	8
jiù	ㄐ丨ㄡˋ	僦	15
jū	ㄐㄩ	且	31
jú	ㄐㄩˊ	侷（局）	18
jǔ	ㄐㄩˇ	咀	18
jù	ㄐㄩˋ	俱	40
juān	ㄐㄩㄢ	圈	11
juǎn	ㄐㄩㄢˇ	卷	4
juàn	ㄐㄩㄢˋ	倦	18
juē	ㄐㄩㄝ	噘	2
jué	ㄐㄩㄝˊ	亅	58
juè	ㄐㄩㄝˋ	倔	1
jūn	ㄐㄩㄣ	君	15
jùn	ㄐㄩㄣˋ	俊	21
kā	ㄎㄚ	咔	4
kǎ	ㄎㄚˇ	佧	6
kà	ㄎㄚˋ	髂	1
kāi	ㄎㄞ	揩	3
kǎi	ㄎㄞˇ	凱（凯）	10
kài	ㄎㄞˋ	愒	7
kān	ㄎㄢ	㪁	9
kǎn	ㄎㄢˇ	侃	14
kàn	ㄎㄢˋ	墈	8
kāng	ㄎㄤ	康	6
káng	ㄎㄤˊ	扛	1
kǎng	ㄎㄤˇ	骯（肮）	1
kàng	ㄎㄤˋ	亢	8
kāo	ㄎㄠ	尻	1
kǎo	ㄎㄠˇ	拷	7
kào	ㄎㄠˋ	犒	3
kē	ㄎㄜ	坷	23
ké	ㄎㄜˊ	咳	4
kě	ㄎㄜˇ	可	9
kè	ㄎㄜˋ	克	19
kēi	ㄎㄟ	剋	1
kěn	ㄎㄣˇ	啃	5
kèn	ㄎㄣˋ	掯	3
kēng	ㄎㄥ	吭	7
kōng	ㄎㄨㄥ	倥	8
kǒng	ㄎㄨㄥˇ	倥	4
kòng	ㄎㄨㄥˋ	控	5
kōu	ㄎㄡ	彄（𫸩）	6
kǒu	ㄎㄡˇ	口	1
kòu	ㄎㄡˋ	佝	11
kū	ㄎㄨ	刳	10
kǔ	ㄎㄨˇ	楛	2
kù	ㄎㄨˋ	嚳（喾）	8
kuā	ㄎㄨㄚ	夸	4
kuǎ	ㄎㄨㄚˇ	侉	2
kuà	ㄎㄨㄚˋ	挎	3
kuāi	ㄎㄨㄞ	咼（呙）	2
kuǎi	ㄎㄨㄞˇ	蒯	1
kuài	ㄎㄨㄞˋ	儈（侩）	16
kuān	ㄎㄨㄢ	寬（宽）	2
kuǎn	ㄎㄨㄢˇ	梡	4
kuāng	ㄎㄨㄤ	㑌	10
kuáng	ㄎㄨㄤˊ	狂	3
kuǎng	ㄎㄨㄤˇ	俇	4
kuàng	ㄎㄨㄤˋ	壙（圹）	10
kuī	ㄎㄨㄟ	刲	8
kuí	ㄎㄨㄟˊ	喹	15
kuǐ	ㄎㄨㄟˇ	傀	6
kuì	ㄎㄨㄟˋ	匱（匮）	14
kūn	ㄎㄨㄣ	坤	15
kǔn	ㄎㄨㄣˇ	壼（壸）	7
kùn	ㄎㄨㄣˋ	困	2
kuò	ㄎㄨㄛˋ	廓	9
lā	ㄌㄚ	啦	9
lá	ㄌㄚˊ	剌	6
lǎ	ㄌㄚˇ	喇	2
là	ㄌㄚˋ	剌	16
la	˙ㄌㄚ	啦	1
lái	ㄌㄞˊ	來（来）	11
lài	ㄌㄞˋ	倈（俫）	11
lán	ㄌㄢˊ	啉	19
lǎn	ㄌㄢˇ	壈（𡒄）	12
làn	ㄌㄢˋ	僋	7
lāng	ㄌㄤ	啷	1
láng	ㄌㄤˊ	嫏	17
lǎng	ㄌㄤˇ	塱	6
làng	ㄌㄤˋ	埌	3
lāo	ㄌㄠ	撈（捞）	1
láo	ㄌㄠˊ	㟹	12
lǎo	ㄌㄠˇ	佬	13
lào	ㄌㄠˋ	勞（劳）	9
lē	ㄌㄜ	嘞	1
lè	ㄌㄜˋ	仂	12
le	˙ㄌㄜ	了	3
lēi	ㄌㄟ	勒	1
léi	ㄌㄟˊ	嫘	12
lěi	ㄌㄟˇ	儡	16
lèi	ㄌㄟˋ	淚（泪）	6
lei	˙ㄌㄟ	嘞	1
lǎi	ㄌㄞˇ	攋	1
léng	ㄌㄥˊ	塄	8
lěng	ㄌㄥˇ	冷	1
lèng	ㄌㄥˋ	倰	5
lī	ㄌ丨	哩	1
lí	ㄌ丨ˊ	剺	43
lǐ	ㄌ丨ˇ	俚	20
lì	ㄌ丨ˋ	㠣（𫵷）	75
li	˙ㄌ丨	哩	1
liǎ	ㄌ丨ㄚˇ	倆（俩）	1
lián	ㄌ丨ㄢˊ	亷（廉）	27
liǎn	ㄌ丨ㄢˇ	臉（脸）	1
liàn	ㄌ丨ㄢˋ	僆	18
liáng	ㄌ丨ㄤˊ	俍	14
liǎng	ㄌ丨ㄤˇ	䓣	6
liàng	ㄌ丨ㄤˋ	䀶	12
liāo	ㄌ丨ㄠ	蹽	1
liáo	ㄌ丨ㄠˊ	僚	26
liǎo	ㄌ丨ㄠˇ	了	6
liào	ㄌ丨ㄠˋ	尥	7
liē	ㄌ丨ㄝ	咧	1
liě	ㄌ丨ㄝˇ	咧	1
liè	ㄌ丨ㄝˋ	儠	18
lín	ㄌ丨ㄣˊ	啉	29
lǐn	ㄌ丨ㄣˇ	凜（凛）	6
lìn	ㄌ丨ㄣˋ	吝	6
līng	ㄌ丨ㄥ	拎	2
líng	ㄌ丨ㄥˊ	伶	42
lǐng	ㄌ丨ㄥˇ	岭	3
lìng	ㄌ丨ㄥˋ	令	2
liū	ㄌ丨ㄡ	溜	2
liú	ㄌ丨ㄡˊ	劉（刘）	21
liǔ	ㄌ丨ㄡˇ	柳	5
liù	ㄌ丨ㄡˋ	六	11
lo	˙ㄌㄛ	咯	1
lóng	ㄌㄨㄥˊ	嚨（咙）	21
lǒng	ㄌㄨㄥˇ	儱	6
lòng	ㄌㄨㄥˋ	儱	6
lōu	ㄌㄡ	摟（搂）	2
lóu	ㄌㄡˊ	僂（偻）	13
lǒu	ㄌㄡˇ	塿（𪣻）	4
lòu	ㄌㄡˋ	漏	6
lou	˙ㄌㄡ	嘍（喽）	1
lū	ㄌㄨ	嚕（噜）	2
lú	ㄌㄨˊ	嚧	19
lǔ	ㄌㄨˇ	擄（掳）	13
lù	ㄌㄨˋ	僇	44
lǘ	ㄌㄩˊ	櫚（榈）	5
lǚ	ㄌㄩˇ	侶（侣）	16
lǜ	ㄌㄩˋ	勴	13
luán	ㄌㄨㄢˊ	圞	11
luǎn	ㄌㄨㄢˇ	卵	1
luàn	ㄌㄨㄢˋ	亂（乱）	1
lüán	ㄌㄩㄢˊ	癵	1
lüè	ㄌㄩㄝˋ	圙	6
lūn	ㄌㄨㄣ	掄（抡）	1
lún	ㄌㄨㄣˊ	侖（仑）	14
lùn	ㄌㄨㄣˋ	論（论）	1
luō	ㄌㄨㄛ	囉（啰）	2
luó	ㄌㄨㄛˊ	儸	15
luǒ	ㄌㄨㄛˇ	倮	7
luò	ㄌㄨㄛˋ	咯	16
luo	˙ㄌㄨㄛ	囉（啰）	1
mā	ㄇㄚ	媽（妈）	3
má	ㄇㄚˊ	嗎（吗）	8
mǎ	ㄇㄚˇ	傌	7
mà	ㄇㄚˋ	傌	8
ma	˙ㄇㄚ	嗎（吗）	2
mái	ㄇㄞˊ	埋	2
mǎi	ㄇㄞˇ	蕒（荬）	2
mài	ㄇㄞˋ	䥑（鿏）	7
mān	ㄇㄢ	屘	1
mán	ㄇㄢˊ	埋	16
mǎn	ㄇㄢˇ	滿（满）	4
màn	ㄇㄢˋ	僈	16
māng	ㄇㄤ	牤	1
máng	ㄇㄤˊ	㟐	20
mǎng	ㄇㄤˇ	壾	5
māo	ㄇㄠ	貓（猫）	1
máo	ㄇㄠˊ	堥	14
mǎo	ㄇㄠˇ	卯	6
mào	ㄇㄠˋ	䋃	18
me	˙ㄇㄜ	嚜	2
méi	ㄇㄟˊ	塺	29
měi	ㄇㄟˇ	媄	9
mèi	ㄇㄟˋ	妹	11
mēn	ㄇㄣ	悶（闷）	2
mén	ㄇㄣˊ	亹	8
mèn	ㄇㄣˋ	呇	4
men	˙ㄇㄣ	們（们）	1
mēng	ㄇㄥ	掹	2
méng	ㄇㄥˊ	儚	26
měng	ㄇㄥˇ	勐	7
mèng	ㄇㄥˋ	夢（梦）	2
mī	ㄇ丨	咪	3
mí	ㄇ丨ˊ	冞	16
mǐ	ㄇ丨ˇ	弭	13
mì	ㄇ丨ˋ	冖	22
mián	ㄇ丨ㄢˊ	媔	8
miǎn	ㄇ丨ㄢˇ	丏	19
miàn	ㄇ丨ㄢˋ	瞑	3
miāo	ㄇ丨ㄠ	喵	1
