# 《國語小字典》注音索引
# 共1173个音节（其中10个音节缺例字）
#
# https://dict.mini.moe.edu.tw/SearchIndex?type=zhuyin
#
# 拼音	注音	例字	字数

dāi	ㄉㄞ	呆	2
dǎi	ㄉㄞˇ	歹	2
dài	ㄉㄞˋ	代	12
děi	ㄉㄟˇ	得	1
dāo	ㄉㄠ	刀	2
dǎo	ㄉㄠˇ	倒	6
dào	ㄉㄠˋ	倒	7
dōu	ㄉㄡ	兜	2
dǒu	ㄉㄡˇ	抖	4
dòu	ㄉㄡˋ	痘	6
dān	ㄉㄢ	丹	6
dǎn	ㄉㄢˇ	撢	2
dàn	ㄉㄢˋ	但	10
dāng	ㄉㄤ	噹	3
dǎng	ㄉㄤˇ	擋	4
dàng	ㄉㄤˋ	宕	4
dēng	ㄉㄥ	燈	2
děng	ㄉㄥˇ	等	1
dèng	ㄉㄥˋ	凳	4
tī	ㄊㄧ	剔	3
tí	ㄊㄧˊ	啼	5
tǐ	ㄊㄧˇ	體	1
tì	ㄊㄧˋ	剃	6
tū	ㄊㄨ	禿	1
tú	ㄊㄨˊ	凸	9
tǔ	ㄊㄨˇ	吐	2
tù	ㄊㄨˋ	兔	3
tiē	ㄊㄧㄝ	帖	2
tiě	ㄊㄧㄝˇ	帖	2
tiāo	ㄊㄧㄠ	挑	1
tiáo	ㄊㄧㄠˊ	條	3
tiǎo	ㄊㄧㄠˇ	挑	2
tiào	ㄊㄧㄠˋ	眺	2
tiān	ㄊㄧㄢ	天	2
tián	ㄊㄧㄢˊ	填	5
tiǎn	ㄊㄧㄢˇ	腆	3
tīng	ㄊㄧㄥ	廳	3
tíng	ㄊㄧㄥˊ	亭	7
tǐng	ㄊㄧㄥˇ	挺	2
tìng	ㄊㄧㄥˋ	聽	1
tuō	ㄊㄨㄛ	托	4
tuó	ㄊㄨㄛˊ	佗	7
tuǒ	ㄊㄨㄛˇ	妥	2
tuò	ㄊㄨㄛˋ	唾	3
tuī	ㄊㄨㄟ	推	1
tuí	ㄊㄨㄟˊ	頹	1
tuǐ	ㄊㄨㄟˇ	腿	1
tuì	ㄊㄨㄟˋ	蛻	2
tuān	ㄊㄨㄢ	湍	1
tuán	ㄊㄨㄢˊ	團	2
tūn	ㄊㄨㄣ	吞	1
tún	ㄊㄨㄣˊ	屯	3
tùn	ㄊㄨㄣˋ	褪	1
tōng	ㄊㄨㄥ	通	1
tóng	ㄊㄨㄥˊ	仝	8
tǒng	ㄊㄨㄥˇ	桶	3
tòng	ㄊㄨㄥˋ	痛	1
tā	ㄊㄚ	他	6
tǎ	ㄊㄚˇ	塔	1
tà	ㄊㄚˋ	拓	6
tè	ㄊㄜˋ	忑	2
tāi	ㄊㄞ	胎	2
tái	ㄊㄞˊ	台	6
tài	ㄊㄞˋ	太	4
tāo	ㄊㄠ	叨	4
táo	ㄊㄠˊ	啕	7
tǎo	ㄊㄠˇ	討	1
tào	ㄊㄠˋ	套	1
tōu	ㄊㄡ	偷	1
tóu	ㄊㄡˊ	投	2
tòu	ㄊㄡˋ	透	1
tou	˙ㄊㄡ	頭	1
tān	ㄊㄢ	攤	4
tán	ㄊㄢˊ	壇	9
tǎn	ㄊㄢˇ	坦	4
tàn	ㄊㄢˋ	嘆	5
tāng	ㄊㄤ	湯	1
táng	ㄊㄤˊ	唐	7
tǎng	ㄊㄤˇ	倘	3
tàng	ㄊㄤˋ	燙	2
téng	ㄊㄥˊ	疼	4
ní	ㄋㄧˊ	倪	6
nǐ	ㄋㄧˇ	你	3
nì	ㄋㄧˋ	匿	6
nú	ㄋㄨˊ	奴	1
nǔ	ㄋㄨˇ	努	2
nù	ㄋㄨˋ	怒	1
nǚ	ㄋㄩˇ	女	1
niē	ㄋㄧㄝ	捏	1
niè	ㄋㄧㄝˋ	囁	3
niǎo	ㄋㄧㄠˇ	鳥	1
niào	ㄋㄧㄠˋ	尿	2
niū	ㄋㄧㄡ	妞	1
niú	ㄋㄧㄡˊ	牛	1
niǔ	ㄋㄧㄡˇ	扭	3
nián	ㄋㄧㄢˊ	年	4
niǎn	ㄋㄧㄢˇ	拈	3
niàn	ㄋㄧㄢˋ	唸	3
nín	ㄋㄧㄣˊ	您	1
niáng	ㄋㄧㄤˊ	娘	1
niàng	ㄋㄧㄤˋ	釀	1
níng	ㄋㄧㄥˊ	凝	5
nìng	ㄋㄧㄥˋ	濘	1
nuó	ㄋㄨㄛˊ	哪	3
nuò	ㄋㄨㄛˋ	懦	3
nuǎn	ㄋㄨㄢˇ	暖	1
nóng	ㄋㄨㄥˊ	濃	3
nòng	ㄋㄨㄥˋ	弄	1
nüè	ㄋㄩㄝˋ	瘧	3
ná	ㄋㄚˊ	南	2
nǎ	ㄋㄚˇ	哪	1
nà	ㄋㄚˋ	吶	6
na	˙ㄋㄚ	哪	1
ne	˙ㄋㄜ	呢	1
nǎi	ㄋㄞˇ	乃	3
nài	ㄋㄞˋ	奈	2
něi	ㄋㄟˇ	餒	1
nèi	ㄋㄟˋ	內	1
náo	ㄋㄠˊ	撓	1
nǎo	ㄋㄠˇ	惱	3
nào	ㄋㄠˋ	鬧	1
nān	ㄋㄢ	囡	1
nán	ㄋㄢˊ	南	5
nǎn	ㄋㄢˇ		0
nàn	ㄋㄢˋ	難	1
nèn	ㄋㄣˋ	嫩	1
náng	ㄋㄤˊ	囊	1
néng	ㄋㄥˊ	能	1
lī	ㄌㄧ	哩	1
lí	ㄌㄧˊ	厘	14
lǐ	ㄌㄧˇ	哩	9
lì	ㄌㄧˋ	例	24
lū	ㄌㄨ	嚕	1
lú	ㄌㄨˊ	廬	5
lǔ	ㄌㄨˇ	擄	5
lù	ㄌㄨˋ	漉	11
lǘ	ㄌㄩˊ	櫚	2
lǚ	ㄌㄩˇ	侶	7
lǜ	ㄌㄩˋ	壘	7
liǎ	ㄌㄧㄚˇ	倆	1
liě	ㄌㄧㄝˇ		0
liè	ㄌㄧㄝˋ	冽	7
liáo	ㄌㄧㄠˊ	僚	11
liǎo	ㄌㄧㄠˇ	了	2
liào	ㄌㄧㄠˋ	廖	3
liū	ㄌㄧㄡ	溜	1
liú	ㄌㄧㄡˊ	劉	8
liǔ	ㄌㄧㄡˇ	柳	1
liù	ㄌㄧㄡˋ	六	3
lián	ㄌㄧㄢˊ	廉	8
liǎn	ㄌㄧㄢˇ	臉	1
liàn	ㄌㄧㄢˋ	戀	7
lín	ㄌㄧㄣˊ	林	10
lǐn	ㄌㄧㄣˇ	凜	1
lìn	ㄌㄧㄣˋ	吝	2
liáng	ㄌㄧㄤˊ	梁	6
liǎng	ㄌㄧㄤˇ	倆	2
liàng	ㄌㄧㄤˋ	亮	6
līng	ㄌㄧㄥ	拎	1
líng	ㄌㄧㄥˊ	伶	12
lǐng	ㄌㄧㄥˇ	嶺	2
lìng	ㄌㄧㄥˋ	令	2
luō	ㄌㄨㄛ	囉	1
luó	ㄌㄨㄛˊ	儸	9
luǒ	ㄌㄨㄛˇ	裸	1
luò	ㄌㄨㄛˋ	洛	6
luán	ㄌㄨㄢˊ	巒	1
luǎn	ㄌㄨㄢˇ	卵	1
luàn	ㄌㄨㄢˋ	亂	1
lūn	ㄌㄨㄣ	掄	1
lún	ㄌㄨㄣˊ	倫	8
lùn	ㄌㄨㄣˋ	論	1
lóng	ㄌㄨㄥˊ	嚨	8
lǒng	ㄌㄨㄥˇ	壟	3
lòng	ㄌㄨㄥˋ	弄	1
lüè	ㄌㄩㄝˋ	掠	2
lā	ㄌㄚ	啦	2
lá	ㄌㄚˊ		0
lǎ	ㄌㄚˇ	喇	1
là	ㄌㄚˋ	臘	4
la	˙ㄌㄚ	啦	1
lo	˙ㄌㄛ	咯	1
lè	ㄌㄜˋ	勒	4
le	˙ㄌㄜ	了	1
lái	ㄌㄞˊ	來	2
lài	ㄌㄞˋ	癩	4
lēi	ㄌㄟ	勒	1
léi	ㄌㄟˊ	擂	4
lěi	ㄌㄟˇ	儡	5
lèi	ㄌㄟˋ	淚	3
lāo	ㄌㄠ	撈	1
láo	ㄌㄠˊ	勞	3
lǎo	ㄌㄠˇ	硓	2
lào	ㄌㄠˋ	勞	4
lóu	ㄌㄡˊ	嘍	3
lǒu	ㄌㄡˇ	摟	2
lòu	ㄌㄡˋ	漏	4
lán	ㄌㄢˊ	婪	10
lǎn	ㄌㄢˇ	懶	5
làn	ㄌㄢˋ	濫	2
láng	ㄌㄤˊ	廊	8
lǎng	ㄌㄤˇ	朗	1
làng	ㄌㄤˋ	浪	1
léng	ㄌㄥˊ	楞	2
lěng	ㄌㄥˇ	冷	1
lèng	ㄌㄥˋ	怔	3
gū	ㄍㄨ	估	10
gú	ㄍㄨˊ	骨	1
gǔ	ㄍㄨˇ	古	10
gù	ㄍㄨˋ	估	8
guā	ㄍㄨㄚ	刮	7
guǎ	ㄍㄨㄚˇ	寡	1
guà	ㄍㄨㄚˋ	卦	3
guō	ㄍㄨㄛ	渦	3
guó	ㄍㄨㄛˊ	國	1
guǒ	ㄍㄨㄛˇ	果	3
guò	ㄍㄨㄛˋ	過	1
guāi	ㄍㄨㄞ	乖	1
guǎi	ㄍㄨㄞˇ	拐	2
guài	ㄍㄨㄞˋ	怪	1
guī	ㄍㄨㄟ	圭	7
guǐ	ㄍㄨㄟˇ	晷	5
guì	ㄍㄨㄟˋ	匱	6
guān	ㄍㄨㄢ	倌	7
guǎn	ㄍㄨㄢˇ	管	2
guàn	ㄍㄨㄢˋ	冠	7
gǔn	ㄍㄨㄣˇ	滾	1
gùn	ㄍㄨㄣˋ	棍	1
guāng	ㄍㄨㄤ	光	2
guǎng	ㄍㄨㄤˇ	廣	2
guàng	ㄍㄨㄤˋ	逛	1
gōng	ㄍㄨㄥ	供	11
gǒng	ㄍㄨㄥˇ	拱	2
gòng	ㄍㄨㄥˋ	供	3
gā	ㄍㄚ	嘎	1
gá	ㄍㄚˊ	軋	1
gà	ㄍㄚˋ	尬	1
gē	ㄍㄜ	割	8
gé	ㄍㄜˊ	格	7
gě	ㄍㄜˇ	個	4
gè	ㄍㄜˋ	個	2
gāi	ㄍㄞ	該	2
gǎi	ㄍㄞˇ	改	1
gài	ㄍㄞˋ	丐	4
gěi	ㄍㄟˇ	給	1
gāo	ㄍㄠ	睪	6
gǎo	ㄍㄠˇ	搞	2
gào	ㄍㄠˋ	告	1
gōu	ㄍㄡ	勾	5
gǒu	ㄍㄡˇ	枸	3
gòu	ㄍㄡˋ	勾	6
gān	ㄍㄢ	乾	8
gǎn	ㄍㄢˇ	感	6
gàn	ㄍㄢˋ	幹	1
gēn	ㄍㄣ	根	2
gèn	ㄍㄣˋ	亙	1
gāng	ㄍㄤ	亢	9
gǎng	ㄍㄤˇ	崗	2
gàng	ㄍㄤˋ	槓	1
gēng	ㄍㄥ	庚	4
gěng	ㄍㄥˇ	哽	4
gèng	ㄍㄥˋ	更	1
kū	ㄎㄨ	哭	4
kǔ	ㄎㄨˇ	苦	1
kù	ㄎㄨˋ	庫	3
kuā	ㄎㄨㄚ	夸	2
kuǎ	ㄎㄨㄚˇ	垮	1
kuà	ㄎㄨㄚˋ	跨	1
kuò	ㄎㄨㄛˋ	廓	3
kuài	ㄎㄨㄞˋ	塊	6
kuī	ㄎㄨㄟ	盔	3
kuí	ㄎㄨㄟˊ	揆	5
kuǐ	ㄎㄨㄟˇ	傀	1
kuì	ㄎㄨㄟˋ	匱	6
kuān	ㄎㄨㄢ	寬	1
kuǎn	ㄎㄨㄢˇ	款	1
kūn	ㄎㄨㄣ	坤	3
kǔn	ㄎㄨㄣˇ	壼	3
kùn	ㄎㄨㄣˋ	困	2
kuāng	ㄎㄨㄤ	框	3
kuáng	ㄎㄨㄤˊ	狂	1
kuàng	ㄎㄨㄤˋ	曠	3
kōng	ㄎㄨㄥ	空	1
kǒng	ㄎㄨㄥˇ	孔	2
kòng	ㄎㄨㄥˋ	控	2
kā	ㄎㄚ	咖	2
kǎ	ㄎㄚˇ	卡	2
kē	ㄎㄜ	柯	11
ké	ㄎㄜˊ	咳	2
kě	ㄎㄜˇ	可	3
kè	ㄎㄜˋ	克	7
kāi	ㄎㄞ	開	1
kǎi	ㄎㄞˇ	凱	3
kài	ㄎㄞˋ	愾	1
kǎo	ㄎㄠˇ	拷	3
kào	ㄎㄠˋ	靠	1
kōu	ㄎㄡ	摳	1
kǒu	ㄎㄡˇ	口	1
kòu	ㄎㄡˋ	叩	4
kān	ㄎㄢ	刊	5
kǎn	ㄎㄢˇ	侃	6
kàn	ㄎㄢˋ	看	2
kěn	ㄎㄣˇ	啃	4
kāng	ㄎㄤ	康	2
káng	ㄎㄤˊ	扛	1
kàng	ㄎㄤˋ	亢	3
kēng	ㄎㄥ	吭	3
hū	ㄏㄨ	乎	5
hú	ㄏㄨˊ	和	13
hǔ	ㄏㄨˇ	唬	4
hù	ㄏㄨˋ	互	6
huā	ㄏㄨㄚ	化	4
huá	ㄏㄨㄚˊ	划	8
huà	ㄏㄨㄚˋ	劃	6
huó	ㄏㄨㄛˊ	活	1
huǒ	ㄏㄨㄛˇ	伙	3
huò	ㄏㄨㄛˋ	和	10
huo	˙ㄏㄨㄛ	和	1
huái	ㄏㄨㄞˊ	徊	5
huài	ㄏㄨㄞˋ	壞	1
huī	ㄏㄨㄟ	徽	6
huí	ㄏㄨㄟˊ	回	3
huǐ	ㄏㄨㄟˇ	悔	3
huì	ㄏㄨㄟˋ	匯	15
huān	ㄏㄨㄢ	歡	1
huán	ㄏㄨㄢˊ	嬛	6
huǎn	ㄏㄨㄢˇ	緩	1
huàn	ㄏㄨㄢˋ	喚	8
hūn	ㄏㄨㄣ	婚	2
hún	ㄏㄨㄣˊ	渾	2
hùn	ㄏㄨㄣˋ	混	2
huāng	ㄏㄨㄤ	慌	2
huáng	ㄏㄨㄤˊ	凰	9
huǎng	ㄏㄨㄤˇ	恍	3
huàng	ㄏㄨㄤˋ	晃	1
hōng	ㄏㄨㄥ	哄	3
hóng	ㄏㄨㄥˊ	宏	8
hǒng	ㄏㄨㄥˇ	哄	1
hā	ㄏㄚ	哈	1
há	ㄏㄚˊ	蛤	2
hǎ	ㄏㄚˇ	哈	1
hē	ㄏㄜ	呵	2
hé	ㄏㄜˊ	何	13
hè	ㄏㄜˋ	和	7
hāi	ㄏㄞ	咳	2
hái	ㄏㄞˊ	孩	3
hǎi	ㄏㄞˇ	海	1
hài	ㄏㄞˋ	亥	3
hēi	ㄏㄟ	嘿	2
hāo	ㄏㄠ	蒿	1
háo	ㄏㄠˊ	嚎	5
hǎo	ㄏㄠˇ	好	2
hào	ㄏㄠˋ	好	5
hóu	ㄏㄡˊ	侯	3
hǒu	ㄏㄡˇ	吼	1
hòu	ㄏㄡˋ	候	5
hān	ㄏㄢ	憨	3
hán	ㄏㄢˊ	函	6
hǎn	ㄏㄢˇ	喊	2
hàn	ㄏㄢˋ	和	10
hén	ㄏㄣˊ	痕	1
hěn	ㄏㄣˇ	很	2
hèn	ㄏㄣˋ	恨	1
hāng	ㄏㄤ		0
háng	ㄏㄤˊ	吭	4
hēng	ㄏㄥ	亨	2
héng	ㄏㄥˊ	恆	3
hèng	ㄏㄥˋ	橫	1
jī	ㄐㄧ	几	23
jí	ㄐㄧˊ	亟	21
jǐ	ㄐㄧˇ	己	6
jì	ㄐㄧˋ	冀	19
jū	ㄐㄩ	居	5
jú	ㄐㄩˊ	局	6
jǔ	ㄐㄩˇ	咀	6
jù	ㄐㄩˋ	俱	16
jiā	ㄐㄧㄚ	伽	9
jiá	ㄐㄧㄚˊ	夾	4
jiǎ	ㄐㄧㄚˇ	假	4
jià	ㄐㄧㄚˋ	假	5
jiē	ㄐㄧㄝ	偕	7
jié	ㄐㄧㄝˊ	傑	15
jiě	ㄐㄧㄝˇ	姊	3
jiè	ㄐㄧㄝˋ	介	9
jiāo	ㄐㄧㄠ	交	13
jiáo	ㄐㄧㄠˊ	嚼	1
jiǎo	ㄐㄧㄠˇ	僥	10
jiào	ㄐㄧㄠˋ	叫	7
jiū	ㄐㄧㄡ	啾	5
jiǔ	ㄐㄧㄡˇ	久	6
jiù	ㄐㄧㄡˋ	咎	10
jiān	ㄐㄧㄢ	兼	12
jiǎn	ㄐㄧㄢˇ	儉	12
jiàn	ㄐㄧㄢˋ	件	22
jīn	ㄐㄧㄣ	今	9
jǐn	ㄐㄧㄣˇ	僅	8
jìn	ㄐㄧㄣˋ	晉	6
jiāng	ㄐㄧㄤ	僵	8
jiǎng	ㄐㄧㄤˇ	槳	4
jiàng	ㄐㄧㄤˋ	匠	6
jīng	ㄐㄧㄥ	京	12
jǐng	ㄐㄧㄥˇ	井	6
jìng	ㄐㄧㄥˋ	勁	11
juē	ㄐㄩㄝ	撅	1
jué	ㄐㄩㄝˊ	倔	14
juè	ㄐㄩㄝˋ	倔	1
juān	ㄐㄩㄢ	娟	4
juǎn	ㄐㄩㄢˇ	卷	2
juàn	ㄐㄩㄢˋ	倦	6
jūn	ㄐㄩㄣ	君	5
jùn	ㄐㄩㄣˋ	俊	7
jiǒng	ㄐㄩㄥˇ	炯	3
qī	ㄑㄧ	七	11
qí	ㄑㄧˊ	其	17
qǐ	ㄑㄧˇ	乞	7
qì	ㄑㄧˋ	亟	12
qū	ㄑㄩ	區	8
qú	ㄑㄩˊ	渠	3
qǔ	ㄑㄩˇ	取	3
qù	ㄑㄩˋ	去	3
qiā	ㄑㄧㄚ	掐	1
qiǎ	ㄑㄧㄚˇ	卡	1
qià	ㄑㄧㄚˋ	恰	2
qiē	ㄑㄧㄝ	切	1
qié	ㄑㄧㄝˊ	伽	2
qiě	ㄑㄧㄝˇ	且	1
qiè	ㄑㄧㄝˋ	切	5
qiāo	ㄑㄧㄠ	敲	2
qiáo	ㄑㄧㄠˊ	僑	7
qiǎo	ㄑㄧㄠˇ	巧	2
qiào	ㄑㄧㄠˋ	俏	4
qiū	ㄑㄧㄡ	丘	6
qiú	ㄑㄧㄡˊ	仇	5
qiǔ	ㄑㄧㄡˇ	糗	1
qiān	ㄑㄧㄢ	仟	11
qián	ㄑㄧㄢˊ	乾	7
qiǎn	ㄑㄧㄢˇ	淺	3
qiàn	ㄑㄧㄢˋ	倩	6
qīn	ㄑㄧㄣ	侵	3
qín	ㄑㄧㄣˊ	勤	6
qǐn	ㄑㄧㄣˇ	寢	1
qìn	ㄑㄧㄣˋ	沁	1
qiāng	ㄑㄧㄤ	搶	6
qiáng	ㄑㄧㄤˊ	強	4
