# 《重編國語辭典（修訂本）》音节统计
# 共1336个音节。
#
# https://dict.revised.moe.edu.tw/index.jsp
# 备注：
# 以下几个注音形式可能存在错误，未予纳入统计。
# - 庸傭墉慵鄘鏞: yúng ㄩㄥˊ （应作yóng，此音节未列入）
# - 㶟: léi ㄌㄟˇ（声调不一致，应作lěi，此音节已有）
# - lüán等音节暂保留。
#
# 拼音	注音	例字	字数

hèng	ㄏㄥˋ	橫	2
hōng	ㄏㄨㄥ	吽	9
hóng	ㄏㄨㄥˊ	吰	23
hǒng	ㄏㄨㄥˇ	哄	2
hòng	ㄏㄨㄥˋ	澒	3
hōu	ㄏㄡ	呴	2
hóu	ㄏㄡˊ	侯	8
hǒu	ㄏㄡˇ	吼	2
hòu	ㄏㄡˋ	候	9
hū	ㄏㄨ	乎	20
hú	ㄏㄨˊ	乎	26
hǔ	ㄏㄨˇ	唬	5
hù	ㄏㄨˋ	互	24
huā	ㄏㄨㄚ	化	5
huá	ㄏㄨㄚˊ	划	10
huà	ㄏㄨㄚˋ	劃	12
huái	ㄏㄨㄞˊ	佪	11
huài	ㄏㄨㄞˋ	壞	2
huān	ㄏㄨㄢ	嚾	6
huán	ㄏㄨㄢˊ	圜	19
huǎn	ㄏㄨㄢˇ	㬊	6
huàn	ㄏㄨㄢˋ	喚	17
huāng	ㄏㄨㄤ	慌	4
huáng	ㄏㄨㄤˊ	偟	24
huǎng	ㄏㄨㄤˇ	幌	6
huàng	ㄏㄨㄤˋ	晃	1
huang	˙ㄏㄨㄤ	慌	1
huī	ㄏㄨㄟ	墮	19
huí	ㄏㄨㄟˊ	佪	7
huǐ	ㄏㄨㄟˇ	悔	8
huì	ㄏㄨㄟˋ	匯	33
hūn	ㄏㄨㄣ	婚	6
hún	ㄏㄨㄣˊ	楎	7
hǔn	ㄏㄨㄣˇ	混	1
hùn	ㄏㄨㄣˋ	圂	6
huō	ㄏㄨㄛ	劐	2
huó	ㄏㄨㄛˊ	佸	2
huǒ	ㄏㄨㄛˇ	伙	4
huò	ㄏㄨㄛˋ	㸌	29
huo	˙ㄏㄨㄛ	午	2
jī	ㄐㄧ	齏	53
jí	ㄐㄧˊ	丮	54
jǐ	ㄐㄧˇ	几	17
jì	ㄐㄧˋ	伎	59
jiā	ㄐㄧㄚ	伽	21
jiá	ㄐㄧㄚˊ	䛟	17
jiǎ	ㄐㄧㄚˇ	假	12
jià	ㄐㄧㄚˋ	假	8
jiān	ㄐㄧㄢ	兼	43
jiǎn	ㄐㄧㄢˇ	儉	24
jiàn	ㄐㄧㄢˋ	件	37
jiāng	ㄐㄧㄤ	僵	15
jiǎng	ㄐㄧㄤˇ	槳	5
jiàng	ㄐㄧㄤˋ	匠	9
jiāo	ㄐㄧㄠ	交	29
jiáo	ㄐㄧㄠˊ	嚼	1
jiǎo	ㄐㄧㄠˇ	佼	23
jiào	ㄐㄧㄠˋ	叫	21
jiē	ㄐㄧㄝ	偕	17
jié	ㄐㄧㄝˊ	倢	44
jiě	ㄐㄧㄝˇ	姊	4
jiè	ㄐㄧㄝˋ	介	21
jīn	ㄐㄧㄣ	今	14
jǐn	ㄐㄧㄣˇ	僅	16
jìn	ㄐㄧㄣˋ	僅	26
jīng	ㄐㄧㄥ	京	21
jǐng	ㄐㄧㄥˇ	井	9
jìng	ㄐㄧㄥˋ	倞	20
jiōng	ㄐㄩㄥ	冂	4
jiǒng	ㄐㄩㄥˇ	冏	11
jiū	ㄐㄧㄡ	丩	14
jiǔ	ㄐㄧㄡˇ	久	9
jiù	ㄐㄧㄡˋ	僦	13
jū	ㄐㄩ	且	25
jú	ㄐㄩˊ	鶪	21
jǔ	ㄐㄩˇ	咀	18
jù	ㄐㄩˋ	䀠	38
juān	ㄐㄩㄢ	圈	11
juǎn	ㄐㄩㄢˇ	卷	3
juàn	ㄐㄩㄢˋ	倦	14
juē	ㄐㄩㄝ	嗟	4
jué	ㄐㄩㄝˊ	鴃	52
juě	ㄐㄩㄝˇ	蹶	1
juè	ㄐㄩㄝˋ	倔	1
jūn	ㄐㄩㄣ	君	11
jǔn	ㄐㄩㄣˇ	窘	1
jùn	ㄐㄩㄣˋ	㕙	21
kā	ㄎㄚ	咖	3
kǎ	ㄎㄚˇ	佧	5
kà	ㄎㄚˋ	喀	2
kāi	ㄎㄞ	開	3
kǎi	ㄎㄞˇ	闓	11
kài	ㄎㄞˋ	欬	5
kān	ㄎㄢ	刊	7
kǎn	ㄎㄢˇ	侃	13
kàn	ㄎㄢˋ	勘	6
kāng	ㄎㄤ	康	6
káng	ㄎㄤˊ	扛	1
kǎng	ㄎㄤˇ	慷	2
kàng	ㄎㄤˋ	亢	7
kāo	ㄎㄠ	尻	2
kǎo	ㄎㄠˇ	丂	7
kào	ㄎㄠˋ	犒	3
kē	ㄎㄜ	刻	22
ké	ㄎㄜˊ	咳	5
kě	ㄎㄜˇ	可	7
kè	ㄎㄜˋ	克	15
kěn	ㄎㄣˇ	啃	5
kèn	ㄎㄣˋ	啃	3
kēng	ㄎㄥ	傾	9
kěng	ㄎㄥˇ	肯	1
kōng	ㄎㄨㄥ	倥	6
kǒng	ㄎㄨㄥˇ	倥	4
kòng	ㄎㄨㄥˋ	控	3
kōu	ㄎㄡ	彄	3
kǒu	ㄎㄡˇ	口	1
kòu	ㄎㄡˋ	佝	9
kū	ㄎㄨ	刳	6
kǔ	ㄎㄨˇ	楛	2
kù	ㄎㄨˋ	嚳	5
kuā	ㄎㄨㄚ	夸	3
kuǎ	ㄎㄨㄚˇ	侉	3
kuà	ㄎㄨㄚˋ	胯	3
kuāi	ㄎㄨㄞ	咼	2
kuǎi	ㄎㄨㄞˇ	蒯	1
kuài	ㄎㄨㄞˋ	儈	18
kuān	ㄎㄨㄢ	寬	3
kuǎn	ㄎㄨㄢˇ	梡	3
kuāng	ㄎㄨㄤ	劻	8
kuáng	ㄎㄨㄤˊ	狂	3
kuǎng	ㄎㄨㄤˇ	懭	1
kuàng	ㄎㄨㄤˋ	壙	8
kuī	ㄎㄨㄟ	刲	7
kuí	ㄎㄨㄟˊ	夔	14
kuǐ	ㄎㄨㄟˇ	傀	6
kuì	ㄎㄨㄟˋ	匱	12
kūn	ㄎㄨㄣ	䖵	13
kǔn	ㄎㄨㄣˇ	壼	7
kùn	ㄎㄨㄣˋ	困	2
kuò	ㄎㄨㄛˋ	廓	9
lā	ㄌㄚ	啦	3
lá	ㄌㄚˊ	剌	3
lǎ	ㄌㄚˇ	喇	1
là	ㄌㄚˋ	剌	8
la	˙ㄌㄚ	啦	2
lái	ㄌㄞˊ	來	13
lài	ㄌㄞˋ	來	11
lán	ㄌㄢˊ	㲯	20
lǎn	ㄌㄢˇ	壈	8
làn	ㄌㄢˋ	濫	4
lāng	ㄌㄤ	啷	1
láng	ㄌㄤˊ	嫏	17
lǎng	ㄌㄤˇ	朗	3
làng	ㄌㄤˋ	埌	4
lāo	ㄌㄠ	撈	1
láo	ㄌㄠˊ	僗	10
lǎo	ㄌㄠˇ	佬	10
lào	ㄌㄠˋ	勞	9
lè	ㄌㄜˋ	仂	11
le	˙ㄌㄜ	了	1
lēi	ㄌㄟ	勒	1
léi	ㄌㄟˊ	㶟	13
lěi	ㄌㄟˇ	儡	12
lèi	ㄌㄟˋ	擂	9
lēng	ㄌㄥ	愣	1
léng	ㄌㄥˊ	崚	5
lěng	ㄌㄥˇ	冷	1
lèng	ㄌㄥˋ	怔	3
lī	ㄌㄧ	哩	1
lí	ㄌㄧˊ	䍦	35
lǐ	ㄌㄧˇ	俚	18
lì	ㄌㄧˋ	例	60
li	˙ㄌㄧ	哩	1
liǎ	ㄌㄧㄚˇ	倆	1
lián	ㄌㄧㄢˊ	嗹	22
liǎn	ㄌㄧㄢˇ	璉	3
liàn	ㄌㄧㄢˋ	僆	14
liáng	ㄌㄧㄤˊ	亮	12
liǎng	ㄌㄧㄤˇ	倆	6
liàng	ㄌㄧㄤˋ	亮	10
liāo	ㄌㄧㄠ	撩	1
liáo	ㄌㄧㄠˊ	僚	22
liǎo	ㄌㄧㄠˇ	了	5
liào	ㄌㄧㄠˋ	尥	8
liē	ㄌㄧㄝ	咧	1
lié	ㄌㄧㄝˊ	咧	1
liě	ㄌㄧㄝˇ	咧	1
liè	ㄌㄧㄝˋ	冽	15
lín	ㄌㄧㄣˊ	嶙	21
lǐn	ㄌㄧㄣˇ	凜	5
lìn	ㄌㄧㄣˋ	吝	5
līng	ㄌㄧㄥ	拎	1
líng	ㄌㄧㄥˊ	㥄	33
lǐng	ㄌㄧㄥˇ	嶺	2
lìng	ㄌㄧㄥˋ	令	2
liū	ㄌㄧㄡ	溜	1
liú	ㄌㄧㄡˊ	劉	19
liǔ	ㄌㄧㄡˇ	柳	3
liù	ㄌㄧㄡˋ	鷚	9
lo	˙ㄌㄛ	咯	1
lóng	ㄌㄨㄥˊ	嚨	16
lǒng	ㄌㄨㄥˇ	儱	5
lòng	ㄌㄨㄥˋ	弄	1
lōu	ㄌㄡ	摟	1
lóu	ㄌㄡˊ	僂	15
lǒu	ㄌㄡˇ	塿	4
lòu	ㄌㄡˋ	漏	6
lou	˙ㄌㄡ	嘍	1
lū	ㄌㄨ	嚕	1
lú	ㄌㄨˊ	嚧	18
lǔ	ㄌㄨˇ	擄	8
lù	ㄌㄨˋ	䍡	39
lǘ	ㄌㄩˊ	櫚	6
lǚ	ㄌㄩˇ	侶	14
lǜ	ㄌㄩˋ	壘	10
luán	ㄌㄨㄢˊ	孌	9
luǎn	ㄌㄨㄢˇ	卵	2
luàn	ㄌㄨㄢˋ	亂	1
lüán	ㄌㄩㄢˊ	孿	2
lüǎn	ㄌㄩㄢˇ	孌	2
lüè	ㄌㄩㄝˋ	掠	3
lūn	ㄌㄨㄣ	掄	1
lún	ㄌㄨㄣˊ	輪	10
lùn	ㄌㄨㄣˋ	論	1
luō	ㄌㄨㄛ	囉	3
luó	ㄌㄨㄛˊ	儸	14
luǒ	ㄌㄨㄛˇ	倮	10
luò	ㄌㄨㄛˋ	咯	15
mā	ㄇㄚ	媽	4
má	ㄇㄚˊ	嘛	6
mǎ	ㄇㄚˇ	傌	7
mà	ㄇㄚˋ	傌	4
ma	˙ㄇㄚ	嗎	4
mái	ㄇㄞˊ	埋	3
mǎi	ㄇㄞˇ	買	1
mài	ㄇㄞˋ	勱	6
mān	ㄇㄢ	屘	2
mán	ㄇㄢˊ	埋	17
mǎn	ㄇㄢˇ	滿	2
màn	ㄇㄢˋ	僈	13
máng	ㄇㄤˊ	厖	21
mǎng	ㄇㄤˇ	蟒	6
māo	ㄇㄠ	摸	2
máo	ㄇㄠˊ	堥	13
mǎo	ㄇㄠˇ	卯	5
mào	ㄇㄠˋ	冒	19
me	˙ㄇㄜ	嚜	2
méi	ㄇㄟˊ	塺	22
měi	ㄇㄟˇ	媺	7
mèi	ㄇㄟˋ	妹	13
mēn	ㄇㄣ	悶	2
mén	ㄇㄣˊ	亹	7
měn	ㄇㄣˇ	悗	1
mèn	ㄇㄣˋ	悶	4
men	˙ㄇㄣ	們	1
mēng	ㄇㄥ	矇	1
méng	ㄇㄥˊ	儚	31
měng	ㄇㄥˇ	幪	12
mèng	ㄇㄥˋ	夢	3
mī	ㄇㄧ	咪	3
mí	ㄇㄧˊ	冞	18
mǐ	ㄇㄧˇ	靡	12
mì	ㄇㄧˋ	冖	23
mián	ㄇㄧㄢˊ	媔	9
miǎn	ㄇㄧㄢˇ	丏	17
miàn	ㄇㄧㄢˋ	瞑	3
