# 《國語辭典簡編本》注音索引
# 共1224个音节
#
# https://dict.concised.moe.edu.tw/searchP.jsp
#
# 拼音	注音	例字	字数

tǐ	ㄊㄧˇ	體	1
tì	ㄊㄧˋ	弟	12
tiē	ㄊㄧㄝ	帖	2
tiě	ㄊㄧㄝˇ	帖	2
tiè	ㄊㄧㄝˋ	餮	1
tiāo	ㄊㄧㄠ	挑	2
tiáo	ㄊㄧㄠˊ	佻	7
tiǎo	ㄊㄧㄠˇ	挑	3
tiào	ㄊㄧㄠˋ	眺	3
tiān	ㄊㄧㄢ	天	2
tián	ㄊㄧㄢˊ	田	5
tiǎn	ㄊㄧㄢˇ	忝	5
tīng	ㄊㄧㄥ	汀	4
tíng	ㄊㄧㄥˊ	廷	7
tǐng	ㄊㄧㄥˇ	挺	4
tìng	ㄊㄧㄥˋ	聽	1
tū	ㄊㄨ	禿	1
tú	ㄊㄨˊ	凸	10
tǔ	ㄊㄨˇ	土	2
tù	ㄊㄨˋ	吐	3
tuō	ㄊㄨㄛ	托	5
tuó	ㄊㄨㄛˊ	佗	8
tuǒ	ㄊㄨㄛˇ	妥	2
tuò	ㄊㄨㄛˋ	拓	5
tuī	ㄊㄨㄟ	推	1
tuí	ㄊㄨㄟˊ	隤	2
tuǐ	ㄊㄨㄟˇ	腿	1
tuì	ㄊㄨㄟˋ	退	2
tuān	ㄊㄨㄢ	湍	1
tuán	ㄊㄨㄢˊ	摶	3
tuàn	ㄊㄨㄢˋ	彖	1
tūn	ㄊㄨㄣ	吞	2
tún	ㄊㄨㄣˊ	屯	5
tùn	ㄊㄨㄣˋ	褪	1
tōng	ㄊㄨㄥ	恫	2
tóng	ㄊㄨㄥˊ	仝	15
tǒng	ㄊㄨㄥˇ	捅	4
tòng	ㄊㄨㄥˋ	痛	2
nā	ㄋㄚ	那	1
ná	ㄋㄚˊ	南	3
nǎ	ㄋㄚˇ	那	2
nà	ㄋㄚˋ	吶	7
na	˙ㄋㄚ	哪	1
nè	ㄋㄜˋ	訥	1
ne	˙ㄋㄜ	呢	1
nǎi	ㄋㄞˇ	乃	4
nài	ㄋㄞˋ	奈	3
něi	ㄋㄟˇ	餒	1
nèi	ㄋㄟˋ	內	1
nāo	ㄋㄠ	孬	1
náo	ㄋㄠˊ	呶	4
nǎo	ㄋㄠˇ	惱	3
nào	ㄋㄠˋ	淖	2
nòu	ㄋㄡˋ	耨	1
nán	ㄋㄢˊ	男	5
nǎn	ㄋㄢˇ	赧	3
nàn	ㄋㄢˋ	難	1
nèn	ㄋㄣˋ	嫩	1
náng	ㄋㄤˊ	囊	1
nǎng	ㄋㄤˇ	曩	1
néng	ㄋㄥˊ	能	1
ní	ㄋㄧˊ	尼	8
nǐ	ㄋㄧˇ	你	4
nì	ㄋㄧˋ	泥	9
niē	ㄋㄧㄝ	捏	1
niè	ㄋㄧㄝˋ	乜	12
niǎo	ㄋㄧㄠˇ	鳥	4
niào	ㄋㄧㄠˋ	尿	2
niū	ㄋㄧㄡ	妞	1
niú	ㄋㄧㄡˊ	牛	1
niǔ	ㄋㄧㄡˇ	忸	4
niù	ㄋㄧㄡˋ	拗	1
nián	ㄋㄧㄢˊ	年	5
niǎn	ㄋㄧㄢˇ	拈	7
niàn	ㄋㄧㄢˋ	廿	3
nín	ㄋㄧㄣˊ	您	1
niáng	ㄋㄧㄤˊ	娘	2
niàng	ㄋㄧㄤˋ	釀	1
níng	ㄋㄧㄥˊ	寧	6
nǐng	ㄋㄧㄥˇ	擰	1
nìng	ㄋㄧㄥˋ	佞	4
nú	ㄋㄨˊ	奴	3
nǔ	ㄋㄨˇ	努	2
nù	ㄋㄨˋ	怒	1
nuó	ㄋㄨㄛˊ	挪	3
nuò	ㄋㄨㄛˋ	喏	5
nuǎn	ㄋㄨㄢˇ	暖	1
nóng	ㄋㄨㄥˊ	農	6
nòng	ㄋㄨㄥˋ	弄	1
nǚ	ㄋㄩˇ	女	1
nǜ	ㄋㄩˋ	女	1
nüè	ㄋㄩㄝˋ	虐	3
lā	ㄌㄚ	拉	3
lá	ㄌㄚˊ	旯	2
lǎ	ㄌㄚˇ	喇	1
là	ㄌㄚˋ	剌	6
la	˙ㄌㄚ	啦	1
lo	˙ㄌㄛ	咯	1
lè	ㄌㄜˋ	肋	6
le	˙ㄌㄜ	了	1
lái	ㄌㄞˊ	來	3
lài	ㄌㄞˋ	徠	6
lēi	ㄌㄟ	勒	1
léi	ㄌㄟˊ	雷	7
lěi	ㄌㄟˇ	耒	8
lèi	ㄌㄟˋ	淚	4
lāo	ㄌㄠ	撈	1
láo	ㄌㄠˊ	牢	6
lǎo	ㄌㄠˇ	老	4
lào	ㄌㄠˋ	烙	6
lōu	ㄌㄡ	摟	1
lóu	ㄌㄡˊ	婁	7
lǒu	ㄌㄡˇ	摟	2
lòu	ㄌㄡˋ	陋	4
lán	ㄌㄢˊ	婪	11
lǎn	ㄌㄢˇ	懶	5
làn	ㄌㄢˋ	濫	3
lāng	ㄌㄤ	啷	1
láng	ㄌㄤˊ	郎	9
lǎng	ㄌㄤˇ	朗	1
làng	ㄌㄤˋ	浪	1
léng	ㄌㄥˊ	棱	3
lěng	ㄌㄥˇ	冷	1
lèng	ㄌㄥˋ	怔	3
lī	ㄌㄧ	哩	1
lí	ㄌㄧˊ	狸	20
lǐ	ㄌㄧˇ	李	16
lì	ㄌㄧˋ	力	38
li	˙ㄌㄧ	哩	1
liǎ	ㄌㄧㄚˇ	倆	1
liě	ㄌㄧㄝˇ	咧	1
liè	ㄌㄧㄝˋ	列	10
liáo	ㄌㄧㄠˊ	聊	14
liǎo	ㄌㄧㄠˇ	了	3
liào	ㄌㄧㄠˋ	料	4
liū	ㄌㄧㄡ	溜	1
liú	ㄌㄧㄡˊ	流	9
liǔ	ㄌㄧㄡˇ	柳	2
liù	ㄌㄧㄡˋ	六	7
lián	ㄌㄧㄢˊ	帘	15
liǎn	ㄌㄧㄢˇ	臉	1
liàn	ㄌㄧㄢˋ	煉	9
lín	ㄌㄧㄣˊ	林	14
lǐn	ㄌㄧㄣˇ	稟	4
lìn	ㄌㄧㄣˋ	吝	4
liáng	ㄌㄧㄤˊ	良	7
liǎng	ㄌㄧㄤˇ	兩	3
liàng	ㄌㄧㄤˋ	亮	8
līng	ㄌㄧㄥ	拎	1
líng	ㄌㄧㄥˊ	伶	21
lǐng	ㄌㄧㄥˇ	領	2
lìng	ㄌㄧㄥˋ	另	2
lū	ㄌㄨ	嚕	1
lú	ㄌㄨˊ	盧	13
lǔ	ㄌㄨˇ	鹵	7
lù	ㄌㄨˋ	六	20
luō	ㄌㄨㄛ	囉	1
luó	ㄌㄨㄛˊ	螺	10
luǒ	ㄌㄨㄛˇ	裸	1
luò	ㄌㄨㄛˋ	落	10
luán	ㄌㄨㄢˊ	巒	8
luǎn	ㄌㄨㄢˇ	卵	1
luàn	ㄌㄨㄢˋ	亂	1
lūn	ㄌㄨㄣ	掄	1
lún	ㄌㄨㄣˊ	侖	9
lùn	ㄌㄨㄣˋ	論	1
lóng	ㄌㄨㄥˊ	隆	11
lǒng	ㄌㄨㄥˇ	壟	3
lòng	ㄌㄨㄥˋ	弄	2
lǘ	ㄌㄩˊ	閭	3
lǚ	ㄌㄩˇ	呂	9
lǜ	ㄌㄩˋ	律	7
lüè	ㄌㄩㄝˋ	掠	2
gā	ㄍㄚ	旮	2
gá	ㄍㄚˊ	軋	1
gà	ㄍㄚˋ	尬	1
gē	ㄍㄜ	戈	9
gé	ㄍㄜˊ	革	14
gě	ㄍㄜˇ	合	5
gè	ㄍㄜˋ	各	4
gāi	ㄍㄞ	垓	3
gǎi	ㄍㄞˇ	改	1
gài	ㄍㄞˋ	丐	5
gěi	ㄍㄟˇ	給	1
gāo	ㄍㄠ	咎	8
gǎo	ㄍㄠˇ	杲	6
gào	ㄍㄠˋ	告	2
gōu	ㄍㄡ	勾	6
gǒu	ㄍㄡˇ	狗	3
gòu	ㄍㄡˋ	勾	11
gān	ㄍㄢ	干	12
gǎn	ㄍㄢˇ	桿	7
gàn	ㄍㄢˋ	旰	6
gēn	ㄍㄣ	根	2
gěn	ㄍㄣˇ	艮	1
gèn	ㄍㄣˋ	亙	2
gāng	ㄍㄤ	亢	10
gǎng	ㄍㄤˇ	崗	2
gàng	ㄍㄤˋ	槓	2
gēng	ㄍㄥ	更	7
gěng	ㄍㄥˇ	埂	7
gèng	ㄍㄥˋ	更	1
gū	ㄍㄨ	估	16
gú	ㄍㄨˊ	骨	1
gǔ	ㄍㄨˇ	古	19
gù	ㄍㄨˋ	告	10
guā	ㄍㄨㄚ	瓜	7
guǎ	ㄍㄨㄚˇ	剮	2
guà	ㄍㄨㄚˋ	卦	4
guō	ㄍㄨㄛ	郭	5
guó	ㄍㄨㄛˊ	國	5
guǒ	ㄍㄨㄛˇ	果	4
guò	ㄍㄨㄛˋ	過	1
guāi	ㄍㄨㄞ	乖	1
guǎi	ㄍㄨㄞˇ	拐	2
guài	ㄍㄨㄞˋ	怪	1
guī	ㄍㄨㄟ	圭	11
guǐ	ㄍㄨㄟˇ	軌	6
guì	ㄍㄨㄟˋ	桂	6
guān	ㄍㄨㄢ	官	11
guǎn	ㄍㄨㄢˇ	莞	3
guàn	ㄍㄨㄢˋ	冠	10
gǔn	ㄍㄨㄣˇ	袞	3
gùn	ㄍㄨㄣˋ	棍	1
guāng	ㄍㄨㄤ	光	2
guǎng	ㄍㄨㄤˇ	廣	2
guàng	ㄍㄨㄤˋ	逛	1
gōng	ㄍㄨㄥ	工	15
gǒng	ㄍㄨㄥˇ	汞	4
gòng	ㄍㄨㄥˋ	共	3
kā	ㄎㄚ	咖	2
kǎ	ㄎㄚˇ	卡	2
kē	ㄎㄜ	珂	14
ké	ㄎㄜˊ	咳	2
kě	ㄎㄜˇ	可	3
kè	ㄎㄜˋ	可	9
kāi	ㄎㄞ	揩	2
kǎi	ㄎㄞˇ	慨	8
kài	ㄎㄞˋ	欬	3
kāo	ㄎㄠ	尻	1
kǎo	ㄎㄠˇ	考	4
kào	ㄎㄠˋ	犒	3
kōu	ㄎㄡ	摳	1
kǒu	ㄎㄡˇ	口	1
kòu	ㄎㄡˋ	叩	6
kān	ㄎㄢ	刊	6
kǎn	ㄎㄢˇ	坎	7
kàn	ㄎㄢˋ	看	2
kěn	ㄎㄣˇ	肯	4
kāng	ㄎㄤ	康	3
káng	ㄎㄤˊ	扛	1
kàng	ㄎㄤˋ	亢	4
kēng	ㄎㄥ	坑	3
kū	ㄎㄨ	枯	5
kǔ	ㄎㄨˇ	苦	1
kù	ㄎㄨˋ	矻	4
kuā	ㄎㄨㄚ	夸	2
kuǎ	ㄎㄨㄚˇ	垮	1
kuà	ㄎㄨㄚˋ	胯	2
kuò	ㄎㄨㄛˋ	括	4
kuǎi	ㄎㄨㄞˇ	蒯	1
kuài	ㄎㄨㄞˋ	快	10
kuī	ㄎㄨㄟ	盔	3
kuí	ㄎㄨㄟˊ	奎	8
kuǐ	ㄎㄨㄟˇ	傀	1
kuì	ㄎㄨㄟˋ	喟	11
kuān	ㄎㄨㄢ	寬	2
kuǎn	ㄎㄨㄢˇ	款	1
kūn	ㄎㄨㄣ	坤	8
kǔn	ㄎㄨㄣˇ	悃	4
kùn	ㄎㄨㄣˋ	困	2
kuāng	ㄎㄨㄤ	匡	6
kuáng	ㄎㄨㄤˊ	狂	2
kuàng	ㄎㄨㄤˋ	況	5
kōng	ㄎㄨㄥ	空	3
kǒng	ㄎㄨㄥˇ	孔	3
kòng	ㄎㄨㄥˋ	空	2
hā	ㄏㄚ	哈	1
há	ㄏㄚˊ	蛤	2
hǎ	ㄏㄚˇ	哈	1
hē	ㄏㄜ	呵	3
hé	ㄏㄜˊ	禾	22
hè	ㄏㄜˋ	和	7
hāi	ㄏㄞ	咳	2
hái	ㄏㄞˊ	孩	4
hǎi	ㄏㄞˇ	海	2
hài	ㄏㄞˋ	亥	4
hēi	ㄏㄟ	黑	2
hāo	ㄏㄠ	蒿	1
háo	ㄏㄠˊ	毫	7
hǎo	ㄏㄠˇ	好	2
hào	ㄏㄠˋ	好	9
hóu	ㄏㄡˊ	侯	4
hǒu	ㄏㄡˇ	吼	1
hòu	ㄏㄡˋ	后	5
hān	ㄏㄢ	蚶	5
hán	ㄏㄢˊ	汗	9
hǎn	ㄏㄢˇ	罕	2
hàn	ㄏㄢˋ	汗	15
hén	ㄏㄣˊ	痕	1
hěn	ㄏㄣˇ	很	2
hèn	ㄏㄣˋ	恨	1
hāng	ㄏㄤ	夯	1
háng	ㄏㄤˊ	行	6
hàng	ㄏㄤˋ	行	2
hēng	ㄏㄥ	亨	2
héng	ㄏㄥˊ	恆	7
hèng	ㄏㄥˋ	橫	1
hū	ㄏㄨ	乎	6
hú	ㄏㄨˊ	囫	21
hǔ	ㄏㄨˇ	虎	4
hù	ㄏㄨˋ	互	10
huā	ㄏㄨㄚ	化	4
huá	ㄏㄨㄚˊ	划	9
huà	ㄏㄨㄚˋ	化	6
huó	ㄏㄨㄛˊ	活	1
huǒ	ㄏㄨㄛˇ	火	3
huò	ㄏㄨㄛˋ	或	12
huo	˙ㄏㄨㄛ	午	2
huái	ㄏㄨㄞˊ	徊	5
huài	ㄏㄨㄞˋ	壞	1
huī	ㄏㄨㄟ	灰	10
huí	ㄏㄨㄟˊ	回	5
huǐ	ㄏㄨㄟˇ	虫	6
huì	ㄏㄨㄟˋ	卉	19
huān	ㄏㄨㄢ	獾	2
huán	ㄏㄨㄢˊ	桓	8
huǎn	ㄏㄨㄢˇ	緩	2
huàn	ㄏㄨㄢˋ	幻	13
hūn	ㄏㄨㄣ	昏	3
hún	ㄏㄨㄣˊ	渾	4
hùn	ㄏㄨㄣˋ	混	3
huāng	ㄏㄨㄤ	肓	3
huáng	ㄏㄨㄤˊ	皇	14
huǎng	ㄏㄨㄤˇ	恍	4
huàng	ㄏㄨㄤˋ	晃	1
hōng	ㄏㄨㄥ	吽	6
hóng	ㄏㄨㄥˊ	弘	11
hǒng	ㄏㄨㄥˇ	哄	1
hòng	ㄏㄨㄥˋ	鬨	1
jī	ㄐㄧ	几	36
jí	ㄐㄧˊ	及	31
jǐ	ㄐㄧˇ	己	9
jì	ㄐㄧˋ	伎	32
jiā	ㄐㄧㄚ	加	15
jiá	ㄐㄧㄚˊ	夾	7
jiǎ	ㄐㄧㄚˇ	甲	8
jià	ㄐㄧㄚˋ	架	6
jiē	ㄐㄧㄝ	皆	7
jié	ㄐㄧㄝˊ	孑	24
jiě	ㄐㄧㄝˇ	姐	3
jiè	ㄐㄧㄝˋ	介	11
jiāo	ㄐㄧㄠ	交	17
jiáo	ㄐㄧㄠˊ	嚼	1
jiǎo	ㄐㄧㄠˇ	角	16
jiào	ㄐㄧㄠˋ	叫	10
jiū	ㄐㄧㄡ	糾	6
jiǔ	ㄐㄧㄡˇ	九	6
jiù	ㄐㄧㄡˋ	臼	11
jiān	ㄐㄧㄢ	尖	22
jiǎn	ㄐㄧㄢˇ	柬	15
jiàn	ㄐㄧㄢˋ	件	26
jīn	ㄐㄧㄣ	巾	11
jǐn	ㄐㄧㄣˇ	巹	11
jìn	ㄐㄧㄣˋ	近	12
jiāng	ㄐㄧㄤ	江	10
jiǎng	ㄐㄧㄤˇ	蔣	4
jiàng	ㄐㄧㄤˋ	漿	8
jīng	ㄐㄧㄥ	京	14
jǐng	ㄐㄧㄥˇ	井	7
jìng	ㄐㄧㄥˋ	勁	15
jū	ㄐㄩ	且	13
jú	ㄐㄩˊ	局	9
jǔ	ㄐㄩˇ	沮	10
jù	ㄐㄩˋ	巨	22
juē	ㄐㄩㄝ	撅	2
jué	ㄐㄩㄝˊ	孓	22
juè	ㄐㄩㄝˋ	倔	1
juān	ㄐㄩㄢ	身	6
juǎn	ㄐㄩㄢˇ	卷	2
juàn	ㄐㄩㄢˋ	卷	7
jūn	ㄐㄩㄣ	均	8
jùn	ㄐㄩㄣˋ	俊	9
jiǒng	ㄐㄩㄥˇ	炯	3
qī	ㄑㄧ	七	13
qí	ㄑㄧˊ	圻	32
qǐ	ㄑㄧˇ	乞	7
qì	ㄑㄧˋ	企	16
qiā	ㄑㄧㄚ	掐	1
qiǎ	ㄑㄧㄚˇ	卡	1
qià	ㄑㄧㄚˋ	洽	2
qiē	ㄑㄧㄝ	切	1
qié	ㄑㄧㄝˊ	伽	2
qiě	ㄑㄧㄝˇ	且	1
qiè	ㄑㄧㄝˋ	竊	8
qiāo	ㄑㄧㄠ	敲	4
