# 李晓琪等-现代汉语音节动态统计分析
#  Worlton, Daniel S. (2014) “超越汉字：现代汉语音节动态统计分析”李晓琪、贾益民、徐娟（主编）《数字化汉语教学（2014）》，北京：清华大学出版社，437-443.
# 备份: https://linguistese.com/yinjiebiao
#
# 备注：
# -  yan5 或为“䶮 yǎn”，但非轻声。
# - 部分音节可能有问题: 艈 uu5, 虲 uu5, 莻 neus5
#
# 汉字序号	汉字	音节	P(Z|Y)	P(Y|Z)	音节序号	载字量

1268	奋	fen4	0.140	1.000	343	9
560	黄	huang2	0.519	1.000	344	22
760	皇	huang2	0.342	1.000	344	22
821	伯	bo2	0.296	0.971	345	29
965	博	bo2	0.239	1.000	345	29
398	兵	bing1	0.767	1.000	346	4
1071	冰	bing1	0.195	1.000	346	4
311	告	gao4	0.994	1.000	347	8
308	品	pin3	1.000	1.000	348	2
296	且	qie3	1.000	0.952	349	1
329	领	ling3	0.952	1.000	350	3
322	万	wan4	0.972	0.995	351	6
458	乎	hu1	0.455	0.692	352	12
843	呼	hu1	0.276	0.931	352	12
912	忽	hu1	0.243	0.917	352	12
315	北	bei3	1.000	1.000	353	1
319	该	gai1	0.998	1.000	354	5
1	的	di1	0.357	0.006	355	12
592	低	di1	0.502	1.000	355	12
317	死	si3	1.000	1.000	356	1
180	给	gei3	1.000	0.625	357	1
354	造	zao4	0.895	1.000	358	11
788	阵	zhen4	0.333	1.000	359	12
1002	镇	zhen4	0.232	1.000	359	12
1104	震	zhen4	0.191	1.000	359	12
1140	振	zhen4	0.182	1.000	359	12
206	处	chu4	0.766	0.526	360	12
1207	触	chu4	0.163	1.000	360	12
407	百	bai3	0.775	0.989	361	7
1158	摆	bai3	0.180	1.000	361	7
411	华	hua2	0.715	0.917	362	10
522	划	hua2	0.144	0.243	362	10
1480	滑	hua2	0.106	0.983	362	10
479	引	yin3	0.649	1.000	363	12
1034	隐	yin3	0.222	1.000	363	12
41	着	zhao2	1.000	0.207	364	1
587	杀	sha1	0.532	1.000	365	17
848	沙	sha1	0.312	0.993	365	17
734	灵	ling2	0.390	1.000	366	37
1343	零	ling2	0.135	0.985	366	37
1510	龄	ling2	0.107	1.000	366	37
715	策	ce4	0.409	1.000	367	11
861	测	ce4	0.310	1.000	367	11
1220	侧	ce4	0.155	0.947	367	11
1525	册	ce4	0.105	1.000	367	11
536	营	ying2	0.597	1.000	368	19
1070	迎	ying2	0.213	1.000	368	19
419	况	kuang4	0.790	1.000	369	12
1384	矿	kuang4	0.128	1.000	369	12
474	谈	tan2	0.677	1.000	370	17
632	弹	tan2	0.154	0.309	370	17
388	台	tai2	0.857	0.996	371	10
1386	抬	tai2	0.128	1.000	371	10
533	验	yan4	0.604	1.000	372	30
392	罗	luo2	0.823	0.963	373	14
5	了	liao4	0.397	0.024	374	7
557	料	liao4	0.576	1.000	374	7
501	红	hong2	0.648	0.995	375	20
1351	洪	hong2	0.139	1.000	375	20
339	让	rang4	1.000	1.000	376	1
467	装	zhuang1	0.707	1.000	377	6
1024	庄	zhuang1	0.238	1.000	377	6
689	模	mo2	0.431	0.976	378	17
1162	摩	mo2	0.188	0.989	378	17
1180	魔	mo2	0.184	1.000	378	17
433	火	huo3	0.785	0.996	379	4
1047	伙	huo3	0.213	0.920	379	4
629	般	ban1	0.499	0.958	380	9
884	班	ban1	0.312	1.000	380	9
743	胜	sheng4	0.402	0.988	381	9
960	圣	sheng4	0.276	1.000	381	9
1142	盛	sheng4	0.194	0.971	381	9
1446	剩	sheng4	0.123	1.000	381	9
687	警	jing3	0.453	1.000	382	11
815	景	jing3	0.351	1.000	382	11
1431	井	jing3	0.125	1.000	382	11
233	少	shao3	1.000	0.662	383	1
350	改	gai3	1.000	1.000	384	1
351	收	shou1	1.000	1.000	385	1
676	习	xi2	0.475	1.000	386	15
897	席	xi2	0.311	1.000	386	15
1212	袭	xi2	0.175	1.000	386	15
555	讲	jiang3	0.614	1.000	387	5
1172	蒋	jiang3	0.195	1.000	387	5
1234	奖	jiang3	0.174	1.000	387	5
599	千	qian1	0.571	1.000	388	24
1252	签	qian1	0.169	1.000	388	24
361	车	che1	0.999	0.994	389	2
4	不	bu5	0.994	0.052	390	2
231	数	shu3	0.134	0.085	391	12
610	属	shu3	0.562	0.990	391	12
1379	署	shu3	0.142	1.000	391	12
591	密	mi4	0.580	0.977	392	14
893	秘	mi4	0.308	0.943	392	14
377	夫	fu1	0.879	0.872	393	13
379	准	zhun3	1.000	1.000	394	1
736	角	jiao3	0.404	0.916	395	20
790	脚	jiao3	0.384	0.980	395	20
485	费	fei4	0.743	1.000	396	12
1376	废	fei4	0.148	1.000	396	12
390	影	ying3	0.959	1.000	397	5
735	协	xie2	0.444	1.000	398	18
1494	胁	xie2	0.124	1.000	398	18
1539	邪	xie2	0.110	0.960	398	18
693	停	ting2	0.482	1.000	399	11
931	庭	ting2	0.312	1.000	399	11
1626	廷	ting2	0.102	1.000	399	11
806	胡	hu2	0.384	1.000	400	26
918	湖	hu2	0.321	1.000	400	26
454	包	bao1	0.811	1.000	401	10
1341	胞	bao1	0.157	1.000	401	10
382	怎	zen3	1.000	1.000	402	1
412	党	dang3	0.924	1.000	403	4
400	调	diao4	0.534	0.559	404	9
849	掉	diao4	0.363	1.000	404	9
384	存	cun2	0.996	1.000	405	2
642	兰	lan2	0.558	1.000	406	18
1190	蓝	lan2	0.199	0.985	406	18
385	远	yuan3	1.000	1.000	407	1
421	亚	ya4	0.910	1.000	408	14
690	充	chong1	0.498	1.000	409	10
702	冲	chong1	0.475	0.979	409	10
664	波	bo1	0.542	1.000	410	13
1275	播	bo1	0.178	1.000	410	13
424	约	yue1	0.898	0.978	411	2
1656	曰	yue1	0.102	1.000	411	2
565	母	mu3	0.661	1.000	412	8
1061	姆	mu3	0.257	1.000	412	8
656	送	song4	0.558	1.000	413	5
990	宋	song4	0.294	1.000	413	5
471	阿	a1	0.768	0.951	414	6
753	啊	a1	0.224	0.500	414	6
429	究	jiu1	0.870	0.952	415	9
353	干	gan1	0.678	0.601	416	17
1408	甘	gan1	0.147	1.000	416	17
403	算	suan4	0.990	1.000	417	5
410	花	hua1	0.974	0.992	418	5
241	量	liang2	0.158	0.092	419	12
835	良	liang2	0.394	1.000	419	12
1304	粮	liang2	0.177	1.000	419	12
1416	梁	liang2	0.138	0.940	419	12
1581	凉	liang2	0.113	0.974	419	12
804	哥	ge1	0.407	0.975	420	15
1040	歌	ge1	0.270	0.973	420	15
1665	割	ge1	0.104	1.000	420	15
1695	戈	ge1	0.100	1.000	420	15
405	团	tuan2	0.997	1.000	421	2
742	挥	hui1	0.476	1.000	422	16
1311	灰	hui1	0.175	1.000	422	16
1365	恢	hui1	0.164	1.000	422	16
1623	辉	hui1	0.110	1.000	422	16
604	破	po4	0.648	1.000	423	7
1007	迫	po4	0.290	0.974	423	7
416	整	zheng3	0.974	1.000	424	2
465	农	nong2	0.854	1.000	425	8
1585	浓	nong2	0.116	1.000	425	8
24	说	shui4	0.236	0.028	426	4
781	税	shui4	0.441	1.000	426	4
964	睡	shui4	0.323	1.000	426	4
543	底	di3	0.727	0.991	427	13
1119	抵	di3	0.244	1.000	427	13
26	要	yao1	0.509	0.065	428	11
63	么	yao1	0.132	0.029	428	11
1458	腰	yao1	0.144	1.000	428	11
420	请	qing3	0.973	1.000	429	4
824	换	huan4	0.414	1.000	430	21
1250	患	huan4	0.198	1.000	430	21
1417	幻	huan4	0.150	1.000	430	21
464	除	chu2	0.884	1.000	431	15
462	早	zao3	0.911	1.000	432	5
436	满	man3	0.997	1.000	433	2
71	当	dang4	0.745	0.169	434	12
1425	荡	dang4	0.157	1.000	434	12
6	在	zai5	1.000	0.048	435	1
621	刚	gang1	0.669	1.000	436	13
1608	钢	gang1	0.120	0.983	436	13
585	采	cai3	0.713	0.983	437	5
1177	彩	cai3	0.237	0.981	437	5
38	那	na3	0.511	0.076	438	2
652	哪	na3	0.489	0.765	438	2
473	标	biao1	0.912	1.000	439	16
624	状	zhuang4	0.683	1.000	440	6
1432	壮	zhuang4	0.160	1.000	440	6
1540	撞	zhuang4	0.137	1.000	440	6
1021	诸	zhu1	0.319	1.000	441	18
1120	朱	zhu1	0.268	1.000	441	18
1287	珠	zhu1	0.201	1.000	441	18
1761	猪	zhu1	0.101	1.000	441	18
475	吃	chi1	0.905	0.987	442	14
449	写	xie3	0.991	0.985	443	3
466	找	zhao3	0.947	1.000	444	3
798	托	tuo1	0.475	1.000	445	8
944	脱	tuo1	0.373	1.000	445	8
1492	拖	tuo1	0.151	1.000	445	8
376	转	zhuan3	1.000	0.802	446	2
455	片	pian4	0.849	0.858	447	3
1503	骗	pian4	0.151	1.000	447	3
638	错	cuo4	0.685	1.000	448	5
1148	措	cuo4	0.265	1.000	448	5
1022	训	xun4	0.312	0.947	449	15
1090	迅	xun4	0.289	1.000	449	15
1238	讯	xun4	0.225	1.000	449	15
1697	逊	xun4	0.115	1.000	449	15
959	词	ci2	0.372	1.000	450	16
1470	辞	ci2	0.160	1.000	450	16
1487	慈	ci2	0.156	1.000	450	16
1771	磁	ci2	0.104	1.000	450	16
484	突	tu1	0.934	1.000	451	5
515	土	tu3	0.884	1.000	452	3
1653	吐	tu3	0.113	0.915	452	3
483	局	ju2	0.937	1.000	453	12
711	汉	han4	0.584	1.000	454	14
1490	汗	han4	0.151	0.975	454	14
863	屋	wu1	0.442	1.000	455	16
1244	乌	wu1	0.224	0.991	455	16
1405	污	wu1	0.175	1.000	455	16
651	若	ruo4	0.668	0.984	456	7
1038	弱	ruo4	0.325	1.000	456	7
486	专	zhuan1	0.948	1.000	457	6
337	切	qie4	0.857	0.602	458	15
756	压	ya1	0.534	0.982	459	11
930	呀	ya1	0.200	0.500	459	11
1775	押	ya1	0.106	1.000	459	11
937	含	han2	0.394	1.000	460	11
1221	韩	han2	0.237	1.000	460	11
1297	寒	han2	0.212	1.000	460	11
497	随	sui2	0.939	1.000	461	4
41	着	zhao1	0.369	0.052	462	10
593	朝	zhao1	0.147	0.189	462	10
942	招	zhao1	0.394	1.000	462	10
468	广	guang3	0.997	0.992	463	2
495	考	kao3	0.948	1.000	464	4
233	少	shao4	0.650	0.310	465	10
1231	绍	shao4	0.238	1.000	465	10
477	念	nian4	0.986	1.000	466	3
669	喜	xi3	0.673	1.000	467	10
1248	洗	xi3	0.230	0.987	467	10
973	唐	tang2	0.381	1.000	468	16
980	堂	tang2	0.372	0.988	468	16
1746	糖	tang2	0.113	1.000	468	16
641	晚	wan3	0.729	1.000	469	16
463	曾	ceng2	0.366	0.348	470	3
699	层	ceng2	0.632	1.000	470	3
678	居	ju1	0.664	1.000	471	25
623	毛	mao2	0.733	0.962	472	12
1441	矛	mao2	0.178	1.000	472	12
696	龙	long2	0.643	1.000	473	22
1401	隆	long2	0.176	0.932	473	22
740	修	xiu1	0.592	1.000	474	13
1082	休	xiu1	0.315	1.000	474	13
569	批	pi1	0.843	1.000	475	15
936	额	e2	0.418	1.000	476	14
975	俄	e2	0.391	1.000	476	14
499	选	xuan3	0.993	1.000	477	2
593	朝	chao2	0.669	0.811	478	6
1303	潮	chao2	0.224	1.000	478	6
504	虽	sui1	0.985	1.000	479	7
478	六	liu4	0.979	0.941	480	11
520	黑	hei1	0.958	1.000	481	4
850	括	kuo4	0.495	1.000	482	9
1052	扩	kuo4	0.346	1.000	482	9
1674	阔	kuo4	0.131	1.000	482	9
727	宗	zong1	0.622	1.000	483	14
1424	综	zong1	0.179	0.958	483	14
1532	踪	zong1	0.162	1.000	483	14
636	假	jia3	0.609	0.794	484	8
1106	甲	jia3	0.305	0.974	484	8
630	普	pu3	0.778	1.000	485	10
505	推	tui1	0.997	1.000	486	4
822	慢	man4	0.514	0.979	487	12
1224	曼	man4	0.258	1.000	487	12
1455	漫	man4	0.184	1.000	487	12
842	永	yong3	0.509	1.000	488	13
1206	勇	yong3	0.271	1.000	488	13
1642	涌	yong3	0.133	0.950	488	13
626	甚	shen4	0.770	0.957	489	10
1765	慎	shen4	0.118	1.000	489	10
810	版	ban3	0.536	1.000	490	6
929	板	ban3	0.442	1.000	490	6
774	优	you1	0.585	1.000	491	8
1461	忧	you1	0.185	1.000	491	8
1636	幽	you1	0.142	1.000	491	8
517	某	mou3	1.000	1.000	492	1
1237	障	zhang4	0.260	1.000	493	12
1242	丈	zhang4	0.233	0.900	493	12
1603	帐	zhang4	0.150	1.000	493	12
1712	仗	zhang4	0.130	1.000	493	12
974	卖	mai4	0.420	1.000	494	6
1171	麦	mai4	0.299	1.000	494	6
1589	脉	mai4	0.145	0.938	494	6
1698	迈	mai4	0.134	1.000	494	6
110	把	ba4	0.351	0.080	495	13
1050	爸	ba4	0.294	0.800	495	13
1305	罢	ba4	0.206	0.864	495	13
1839	霸	ba4	0.111	1.000	495	13
448	称	cheng1	0.916	0.758	496	10
586	举	ju3	0.893	1.000	497	13
19	和	he4	0.307	0.023	498	12
984	喝	he4	0.145	0.348	498	12
1346	赫	he4	0.228	1.000	498	12
1690	贺	he4	0.136	1.000	498	12
631	怕	pa4	0.824	1.000	499	2
1519	帕	pa4	0.176	1.000	499	2
507	参	can1	0.810	0.773	500	3
1465	餐	can1	0.190	1.000	500	3
791	概	gai4	0.578	1.000	501	8
1051	盖	gai4	0.351	0.953	501	8
532	派	pai4	0.990	0.990	502	3
882	朋	peng2	0.499	1.000	503	16
1501	彭	peng2	0.181	1.000	503	16
1926	鹏	peng2	0.103	1.000	503	16
758	养	yang3	0.625	1.000	504	7
1368	仰	yang3	0.221	1.000	504	7
1863	氧	yang3	0.110	1.000	504	7
63	么	ma5	0.180	0.029	505	7
453	吗	ma5	0.603	0.500	505	7
1628	嘛	ma5	0.134	0.889	505	7
76	看	kan1	0.556	0.099	506	6
1241	刊	kan1	0.271	1.000	506	6
1811	堪	kan1	0.119	1.000	506	6
894	谢	xie4	0.492	0.984	507	31
1657	械	xie4	0.147	1.000	507	31
962	寻	xun2	0.446	1.000	508	16
1545	巡	xun2	0.171	1.000	508	16
1614	询	xun2	0.155	1.000	508	16
1744	循	xun2	0.130	1.000	508	16
682	排	pai2	0.715	0.960	509	5
1261	牌	pai2	0.259	0.985	509	5
590	苏	su1	0.918	1.000	510	6
1092	贸	mao4	0.351	1.000	511	15
1222	冒	mao4	0.273	0.975	511	15
1595	貌	mao4	0.160	1.000	511	15
1750	帽	mao4	0.130	1.000	511	15
571	群	qun2	0.945	1.000	512	3
580	害	hai4	0.923	0.980	513	5
646	脑	nao3	0.843	1.000	514	5
1704	恼	nao3	0.141	1.000	514	5
772	岁	sui4	0.640	1.000	515	15
1420	碎	sui4	0.210	1.000	515	15
579	双	shuang1	0.951	1.000	516	8
994	姑	gu1	0.406	0.933	517	21
1326	估	gu1	0.204	0.826	517	21
1334	孤	gu1	0.245	1.000	517	21
970	伦	lun2	0.457	1.000	518	11
1096	轮	lun2	0.361	1.000	518	11
575	米	mi3	0.973	1.000	519	9
48	发	fa4	0.998	0.124	520	4
785	穿	chuan1	0.638	1.000	521	4
1109	川	chuan1	0.360	1.000	521	4
719	判	pan4	0.734	1.000	522	10
1779	叛	pan4	0.132	1.000	522	10
741	皮	pi2	0.716	1.000	523	23
1778	疲	pi2	0.135	1.000	523	23
455	片	pian1	0.186	0.142	524	6
1008	篇	pian1	0.447	1.000	524	6
1204	偏	pian1	0.316	1.000	524	6
817	登	deng1	0.618	1.000	525	5
1116	灯	deng1	0.367	1.000	525	5
619	乐	le4	0.560	0.594	526	8
966	勒	le4	0.439	0.911	526	8
615	脸	lian3	0.958	1.000	527	5
1013	凡	fan2	0.446	1.000	528	17
1254	烦	fan2	0.250	0.852	528	17
1296	繁	fan2	0.267	0.977	528	17
679	劳	lao2	0.827	1.000	529	9
1696	牢	lao2	0.154	1.000	529	9
601	仍	reng2	1.000	1.000	530	2
792	恶	e4	0.594	0.898	531	28
1912	饿	e4	0.119	1.000	531	28
606	热	re4	1.000	1.000	532	1
1089	兄	xiong1	0.394	1.000	533	7
1356	胸	xiong1	0.259	1.000	533	7
1378	凶	xiong1	0.249	1.000	533	7
749	善	shan4	0.732	1.000	534	25
738	配	pei4	0.756	1.000	535	7
1507	佩	pei4	0.209	1.000	535	7
640	印	yin4	0.949	1.000	536	9
769	帮	bang1	0.720	1.000	537	6
1363	邦	bang1	0.262	1.000	537	6
950	旅	lu:3	0.528	1.000	538	14
1716	吕	lu:3	0.156	1.000	538	14
1802	履	lu:3	0.140	1.000	538	14
794	顿	dun4	0.676	0.988	539	10
1395	盾	dun4	0.248	1.000	539	10
941	摇	yao2	0.546	1.000	540	23
1715	遥	yao2	0.161	1.000	540	23
827	忙	mang2	0.665	1.000	541	11
1951	茫	mang2	0.121	1.000	541	11
2079	盲	mang2	0.101	1.000	541	11
634	苦	ku3	1.000	0.993	542	1
1216	侠	xia2	0.336	1.000	543	19
1643	辖	xia2	0.179	1.000	543	19
1728	峡	xia2	0.161	1.000	543	19
2018	狭	xia2	0.110	1.000	543	19
2022	霞	xia2	0.110	1.000	543	19
757	银	yin2	0.771	1.000	544	19
2015	吟	yin2	0.111	1.000	544	19
692	云	yun2	0.878	1.000	545	14
917	探	tan4	0.585	1.000	546	4
1299	叹	tan4	0.300	1.000	546	4
1003	练	lian4	0.501	1.000	547	9
1464	恋	lian4	0.237	1.000	547	9
1763	炼	lian4	0.154	1.000	547	9
2098	链	lian4	0.101	1.000	547	9
645	拿	na2	0.999	1.000	548	5
778	田	tian2	0.745	1.000	549	10
1971	填	tian2	0.120	1.000	549	10
2020	甜	tian2	0.112	1.000	549	10
704	略	lu:e4	0.863	1.000	550	3
1869	掠	lu:e4	0.136	1.000	550	3
862	败	bai4	0.648	1.000	551	8
1218	拜	bai4	0.343	1.000	551	8
755	免	mian3	0.793	1.000	552	12
2078	勉	mian3	0.106	1.000	552	12
873	贵	gui4	0.641	1.000	553	17
1930	桂	gui4	0.130	1.000	553	17
1994	柜	gui4	0.112	0.955	553	17
879	毫	hao2	0.640	1.000	554	10
1514	豪	hao2	0.228	1.000	554	10
658	血	xue4	0.986	0.986	555	2
581	斗	dou4	0.726	0.625	556	10
1793	豆	dou4	0.153	1.000	556	10
938	补	bu3	0.572	0.980	557	7
1312	捕	bu3	0.306	1.000	557	7
949	疗	liao2	0.581	1.000	558	17
1932	聊	liao2	0.133	1.000	558	17
2086	辽	liao2	0.106	1.000	558	17
68	都	dou1	0.942	0.126	559	4
787	背	bei1	0.121	0.157	560	8
1166	悲	bei1	0.399	1.000	560	8
1396	杯	bei1	0.273	1.000	560	8
2059	卑	bei1	0.112	1.000	560	8
874	枪	qiang1	0.656	1.000	561	17
1917	腔	qiang1	0.136	1.000	561	17
746	审	shen3	0.835	1.000	562	11
1681	沈	shen3	0.131	0.722	562	11
686	雷	lei2	0.945	1.000	563	12
272	空	kong4	0.217	0.080	564	3
780	控	kong4	0.783	1.000	564	3
470	吧	ba5	0.752	0.500	565	6
620	否	fou3	0.997	0.895	566	3
754	超	chao1	0.832	1.000	567	8
996	逃	tao2	0.544	1.000	568	16
1601	陶	tao2	0.198	0.967	568	16
1838	桃	tao2	0.144	0.965	568	16
69	同	tong4	0.120	0.016	569	4
730	痛	tong4	0.863	0.985	569	4
891	恐	kong3	0.665	1.000	570	3
1289	孔	kong3	0.334	1.000	570	3
954	逐	zhu2	0.604	1.000	571	14
1588	竹	zhu2	0.213	1.000	571	14
762	怀	huai2	0.850	1.000	572	6
770	宣	xuan1	0.842	1.000	573	15
635	创	chuang4	0.991	0.868	574	2
648	谁	shei2	1.000	0.889	575	1
972	奥	ao4	0.602	1.000	576	11
1627	澳	ao4	0.211	1.000	576	11
1960	傲	ao4	0.138	1.000	576	11
1292	桥	qiao2	0.346	1.000	577	17
1488	乔	qiao2	0.259	1.000	577	17
1551	瞧	qiao2	0.234	1.000	577	17
1037	访	fang3	0.541	1.000	578	7
1259	仿	fang3	0.369	1.000	578	7
700	冷	leng3	1.000	1.000	579	1
685	欢	huan1	0.992	0.953	580	5
712	村	cun1	0.997	1.000	581	3
768	追	zhui1	0.893	1.000	582	5
967	烟	yan1	0.623	0.990	583	18
723	退	tui4	0.976	1.000	584	4
855	湾	wan1	0.766	1.000	585	6
1663	弯	wan1	0.209	1.000	585	6
1226	惯	guan4	0.401	1.000	586	16
1478	贯	guan4	0.276	1.000	586	16
2077	灌	guan4	0.123	1.000	586	16
782	左	zuo3	0.877	1.000	587	2
2081	佐	zuo3	0.123	1.000	587	2
717	卡	ka3	0.982	0.976	588	5
865	梦	meng4	0.763	1.000	589	2
1575	孟	meng4	0.237	1.000	589	2
1027	翻	fan1	0.571	1.000	590	9
1452	番	fan1	0.269	0.933	590	9
666	省	sheng3	1.000	0.876	591	2
726	您	nin2	0.999	1.000	592	2
766	抗	kang4	0.927	1.000	593	6
1039	蒙	meng2	0.418	0.732	594	13
1163	盟	meng2	0.463	1.000	594	13
16	上	shang5	0.887	0.042	595	3
1117	哲	zhe2	0.502	1.000	596	12
1121	折	zhe2	0.434	0.872	596	12
332	传	zhuan4	0.345	0.136	597	10
376	转	zhuan4	0.443	0.194	597	10
337	切	qie1	1.000	0.398	598	1
732	差	cha1	0.609	0.608	599	12
1495	插	cha1	0.277	1.000	599	12
353	干	gan4	0.964	0.399	600	5
1215	罚	fa2	0.422	1.000	601	8
1400	乏	fa2	0.321	1.000	601	8
1810	伐	fa2	0.181	1.000	601	8
1122	埃	ai1	0.514	1.000	602	6
1752	哀	ai1	0.199	1.000	602	6
2091	唉	ai1	0.107	0.833	602	6
2293	哎	ai1	0.100	1.000	602	6
860	肯	ken3	0.828	1.000	603	7
2264	恳	ken3	0.106	1.000	603	7
800	央	yang1	0.919	1.000	604	8
759	买	mai3	1.000	1.000	605	3
713	哈	ha1	1.000	0.910	606	2
1032	握	wo4	0.616	1.000	607	11
1807	沃	wo4	0.189	1.000	607	11
1942	卧	wo4	0.158	0.974	607	11
943	婚	hun1	0.725	1.000	608	5
1561	昏	hun1	0.264	1.000	608	5
1529	闲	xian2	0.280	1.000	609	15
1827	嫌	xian2	0.184	1.000	609	15
1943	贤	xian2	0.162	1.000	609	15
2257	弦	xian2	0.108	1.000	609	15
765	乱	luan4	1.000	1.000	610	2
779	铁	tie3	0.972	1.000	611	4
997	牙	ya2	0.669	1.000	612	11
2246	崖	ya2	0.111	1.000	612	11
853	杂	za2	0.858	1.000	613	6
775	怪	guai4	1.000	1.000	614	1
1152	培	pei2	0.516	1.000	615	5
1664	陪	pei2	0.234	1.000	615	5
1734	赔	pei2	0.214	1.000	615	5
1394	秦	qin2	0.346	1.000	616	20
1566	勤	qin2	0.270	1.000	616	20
1701	琴	qin2	0.220	0.984	616	20
1165	乃	nai3	0.509	1.000	617	7
1278	奶	nai3	0.389	0.935	617	7
750	妈	ma1	0.978	0.929	618	5
823	欧	ou1	0.932	1.000	619	8
1536	仇	chou2	0.276	0.957	620	17
1677	筹	chou2	0.235	1.000	620	17
2005	酬	chou2	0.146	0.947	620	17
2114	愁	chou2	0.135	1.000	620	17
1136	秀	xiu4	0.543	1.000	621	11
1686	袖	xiu4	0.233	1.000	621	11
221	更	geng4	1.000	0.241	622	1
1330	横	heng2	0.364	0.919	623	8
1340	衡	heng2	0.392	1.000	623	8
1764	恒	heng2	0.210	1.000	623	8
981	旁	pang2	0.720	1.000	624	11
1850	庞	pang2	0.190	1.000	624	11
789	草	cao3	1.000	1.000	625	2
927	港	gang3	0.807	1.000	626	2
1795	岗	gang3	0.193	0.929	626	2
808	靠	kao4	0.977	1.000	627	4
383	呢	ne5	0.994	0.389	628	2
898	鲁	lu3	0.859	1.000	629	9
98	从	cong1	0.395	0.046	630	14
1622	匆	cong1	0.268	1.000	630	14
1669	聪	cong1	0.252	1.000	630	14
807	款	kuan3	1.000	1.000	631	2
771	佛	fo2	1.000	0.913	632	1
939	顺	shun4	0.820	1.000	633	4
2115	瞬	shun4	0.144	1.000	633	4
295	难	nan4	1.000	0.292	634	1
1240	彻	che4	0.485	1.000	635	6
1270	撤	che4	0.462	1.000	635	6
1018	宁	ning2	0.674	0.945	636	7
1632	凝	ning2	0.270	1.000	636	7
914	炮	pao4	0.839	0.970	637	5
2001	泡	pao4	0.149	0.887	637	5
832	讨	tao3	1.000	1.000	638	1
833	坏	huai4	1.000	1.000	639	1
1179	赞	zan4	0.550	1.000	640	8
1325	暂	zan4	0.431	1.000	640	8
1043	鬼	gui3	0.694	1.000	641	10
1879	轨	gui3	0.199	1.000	641	10
744	降	xiang2	0.228	0.190	642	5
1438	详	xiang2	0.367	1.000	642	5
1675	祥	xiang2	0.260	1.000	642	5
2184	翔	xiang2	0.137	1.000	642	5
11	这	zhei4	1.000	0.026	643	1
1098	库	ku4	0.635	1.000	644	7
1868	酷	ku4	0.204	1.000	644	7
2090	裤	ku4	0.154	1.000	644	7
867	温	wen1	0.966	1.000	645	6
1201	烧	shao1	0.543	1.000	646	8
1373	稍	shao1	0.373	0.900	646	8
458	乎	hu5	0.683	0.308	647	7
1393	糊	hu5	0.104	0.262	647	7
581	斗	dou3	0.641	0.375	648	4
1757	抖	dou3	0.236	1.000	648	4
2362	陡	dou3	0.109	1.000	648	4
1383	旋	xuan2	0.361	0.888	649	7
1717	玄	xuan2	0.251	1.000	649	7
1880	悬	xuan2	0.205	1.000	649	7
2065	璇	xuan2	0.162	1.000	649	7
876	楼	lou2	0.941	0.988	650	10
453	吗	ma2	0.379	0.167	651	5
1108	麻	ma2	0.586	0.923	651	5
900	康	kang1	0.933	1.000	652	6
895	松	song1	0.942	1.000	653	7
875	缺	que1	0.979	1.000	654	3
1168	丁	ding1	0.596	0.991	655	11
1907	盯	ding1	0.206	1.000	655	11
2266	钉	ding1	0.102	0.786	655	11
1126	纯	chun2	0.640	1.000	656	12
1883	唇	chun2	0.213	1.000	656	12
1421	宙	zhou4	0.395	1.000	657	14
1954	皱	zhou4	0.196	1.000	657	14
2044	骤	zhou4	0.172	1.000	657	14
2285	咒	zhou4	0.127	1.000	657	14
864	跑	pao3	1.000	0.983	658	1
1153	迷	mi2	0.610	0.986	659	21
1786	弥	mi2	0.239	1.000	659	21
888	恩	en1	0.978	1.000	660	3
1059	拥	yong1	0.726	1.000	661	14
2147	庸	yong1	0.152	1.000	661	14
911	损	sun3	0.953	1.000	662	5
1054	雄	xiong2	0.742	1.000	663	2
1741	熊	xiong2	0.258	1.000	663	2
868	困	kun4	1.000	0.968	664	1
889	短	duan3	1.000	1.000	665	1
910	票	piao4	0.964	1.000	666	4
953	灭	mie4	0.904	1.000	667	4
1055	稳	wen3	0.753	1.000	668	5
1972	吻	wen3	0.198	1.000	668	5
1146	搞	gao3	0.652	1.000	669	10
1587	稿	gao3	0.323	1.000	669	10
1150	秋	qiu1	0.648	1.000	670	16
1929	丘	qiu1	0.212	1.000	670	16
2451	邱	qiu1	0.105	1.000	670	16
1134	尊	zun1	0.666	1.000	671	9
1594	遵	zun1	0.322	1.000	671	9
635	创	chuang1	0.226	0.132	672	3
1074	窗	chuang1	0.729	1.000	672	3
1048	遭	zao1	0.783	1.000	673	2
1919	糟	zao1	0.217	1.000	673	2
922	春	chun1	0.991	1.000	674	5
916	端	duan1	1.000	1.000	675	1
1079	替	ti4	0.740	1.000	676	15
989	谋	mou2	0.885	1.000	677	10
1382	奉	feng4	0.457	1.000	678	7
1504	凤	feng4	0.384	1.000	678	7
1852	缝	feng4	0.104	0.439	678	7
999	顶	ding3	0.871	1.000	679	6
2356	鼎	ding3	0.125	1.000	679	6
1185	妹	mei4	0.615	0.958	680	11
2290	媚	mei4	0.139	1.000	680	11
2375	昧	mei4	0.124	1.000	680	11
969	诺	nuo4	0.936	1.000	681	8
50	里	li5	0.533	0.034	682	7
472	李	li5	0.208	0.083	682	7
1894	璃	li5	0.118	0.500	682	7
