		上																						◯
		去																						◯
	ㄧㄝ	陰	鱉	瞥	乜		爹	貼	捏	咧				皆	切	些								耶
		陽	別	◯	◯		碟	◯	苶	咧				潔	茄	鞋								爺
		上	癟	撇	◯		◯	鐵	◯	咧				解	且	寫								也
		去	彆	◯	滅		◯	餮	孽	列				介	妾	械								夜
	ㄧㄞ	陰																						◯
		陽																						崖
		上																						◯
		去																						◯
	ㄧㄠ	陰	標	漂	喵		刁	挑	◯	撩				交	敲	削								夭
		陽	◯	瓢	苗		◯	條	◯	聊				嚼	喬	◯								搖
		上	表	縹	渺		屌	窕	鳥	了				腳	巧	小								咬
		去	鰾	票	妙		弔	跳	尿	廖				較	鞘	校								要
	ㄧㄡ	陰			◯		丟		妞	溜				糾	丘	休								悠
		陽			◯		◯		牛	流				◯	求	◯								由
		上			◯		◯		忸	柳				久	糗	朽								有
		去			謬		◯		拗	六				疚	◯	秀								又
	ㄧㄢ	陰	邊	偏	◯		顛	添	蔫	◯				肩	鉛	仙								煙
		陽	◯	駢	眠		◯	田	年	連				◯	乾	弦								延
		上	扁	諞	勉		典	餂	碾	臉				柬	遣	險								眼
		去	弁	片	面		店	瑱	念	練				件	欠	現								燕
	ㄧㄣ	陰	賓	姘	◯				◯	◯				今	侵	欣								因
		陽	◯	貧	民				您	林				◯	琴	尋								銀
		上	◯	品	敏				◯	懍				謹	寢	伈								引
		去	儐	聘	◯				◯	吝				近	沁	信								印
	ㄧㄤ	陰							◯	◯				江	羌	香								央
		陽							娘	良				◯	強	祥								羊
		上							◯	兩				講	搶	享								仰
		去							釀	亮				降	嗆	向								樣
	ㄧㄥ	陰	冰	乒	◯		丁	聽	◯	拎				京	輕	興								英
		陽	◯	平	明		◯	廷	寧	伶				◯	情	形								迎
		上	丙	◯	茗		頂	挺	擰	領				景	請	醒								影
		去	併	聘	命		定	聽	佞	另				竟	慶	幸								應
合口呼	ㄨ	陰	逋	鋪	◯	夫	都	禿	◯	嚕	姑	枯	乎				朱	初	舒	◯	租	粗	蘇	屋
		陽	醭	匍	模	扶	獨	途	奴	廬	骨	◯	胡				竹	除	淑	如	足	徂	俗	吾
		上	補	普	母	府	篤	吐	努	魯	古	苦	虎				主	楚	黍	乳	阻	◯	◯	午
		去	布	鋪	墓	付	杜	兔	怒	路	故	庫	戶				住	觸	樹	入	駔	醋	素	誤
	ㄨㄚ	陰									瓜	誇	花				抓	欻	刷					蛙
		陽									◯	◯	華				◯	◯	◯					娃
		上									寡	侉	◯				爪	◯	耍					瓦
		去									卦	胯	化				◯	◯	◯					襪
	ㄨㄛ	陰					多	托	◯	囉	郭	◯	豁				捉	戳	說	◯	嘬	磋	唆	窩
